country_code,state_code,city_name,latitude,longitude,zip_prefix,time_zone
USA,WA,Spokane,47.6588,-117.4260,992,America/Los_Angeles
USA,WA,Tacoma,47.2529,-122.4443,984,America/Los_Angeles
USA,WV,Charleston,38.3498,-81.6326,253,America/New_York
USA,WV,Morgantown,39.6295,-79.9559,265,America/New_York
USA,WI,Milwaukee,43.0389,-87.9065,532,America/Chicago
USA,WI,Madison,43.0731,-89.4012,537,America/Chicago
USA,WI,Green Bay,44.5133,-88.0133,543,America/Chicago
USA,WY,Cheyenne,41.1400,-104.8202,820,America/Denver
USA,WY,Casper,42.8666,-106.3131,826,America/Denver
IND,MH,Mumbai,19.0760,72.8777,400,Asia/Kolkata
IND,MH,Pune,18.5204,73.8567,411,Asia/Kolkata
IND,MH,Nagpur,21.1458,79.0882,440,Asia/Kolkata
IND,DL,New Delhi,28.6139,77.2090,110,Asia/Kolkata
IND,KA,Bengaluru,12.9716,77.5946,560,Asia/Kolkata
IND,KA,Mysuru,12.2958,76.6394,570,Asia/Kolkata
IND,TN,Chennai,13.0827,80.2707,600,Asia/Kolkata
IND,TN,Coimbatore,11.0168,76.9558,641,Asia/Kolkata
IND,TG,Hyderabad,17.3850,78.4867,500,Asia/Kolkata
IND,WB,Kolkata,22.5726,88.3639,700,Asia/Kolkata
IND,GJ,Ahmedabad,23.0225,72.5714,380,Asia/Kolkata
IND,GJ,Surat,21.1702,72.8311,395,Asia/Kolkata
IND,RJ,Jaipur,26.9124,75.7873,302,Asia/Kolkata
IND,UP,Lucknow,26.8467,80.9462,226,Asia/Kolkata
IND,UP,Noida,28.5355,77.3910,201,Asia/Kolkata
IND,KL,Kochi,9.9312,76.2673,682,Asia/Kolkata
IND,KL,Thiruvananthapuram,8.5241,76.9366,695,Asia/Kolkata
IND,PB,Amritsar,31.6340,74.8723,143,Asia/Kolkata
CAN,ON,Toronto,43.6532,-79.3832,M5V,America/Toronto
CAN,ON,Ottawa,45.4215,-75.6972,K1P,America/Toronto
CAN,ON,Mississauga,43.5890,-79.6441,L5B,America/Toronto
CAN,BC,Vancouver,49.2827,-123.1207,V6B,America/Vancouver
CAN,BC,Victoria,48.4284,-123.3656,V8W,America/Vancouver
CAN,AB,Calgary,51.0447,-114.0719,T2P,America/Edmonton
CAN,AB,Edmonton,53.5461,-113.4938,T5J,America/Edmonton
CAN,QC,Montreal,45.5017,-73.5673,H3B,America/Toronto
CAN,QC,Quebec City,46.8139,-71.2080,G1R,America/Toronto
CAN,MB,Winnipeg,49.8951,-97.1384,R3C,America/Winnipeg
CAN,NS,Halifax,44.6488,-63.5752,B3J,America/Halifax
CAN,SK,Saskatoon,52.1332,-106.6700,S7K,America/Regina
AUS,NSW,Sydney,-33.8688,151.2093,20,Australia/Sydney
AUS,NSW,Newcastle,-32.9283,151.7817,23,Australia/Sydney
AUS,VIC,Melbourne,-37.8136,144.9631,30,Australia/Melbourne
AUS,VIC,Geelong,-38.1499,144.3617,32,Australia/Melbourne
AUS,QLD,Brisbane,-27.4698,153.0251,40,Australia/Brisbane
AUS,QLD,Gold Coast,-28.0167,153.4000,42,Australia/Brisbane
AUS,WA,Perth,-31.9505,115.8605,60,Australia/Perth
AUS,SA,Adelaide,-34.9285,138.6007,50,Australia/Adelaide
AUS,TAS,Hobart,-42.8821,147.3272,70,Australia/Hobart
AUS,ACT,Canberra,-35.2809,149.1300,26,Australia/Sydney
AUS,NT,Darwin,-12.4634,130.8456,08,Australia/Darwin
DEU,BE,Berlin,52.5200,13.4050,101,Europe/Berlin
DEU,BY,Munich,48.1351,11.5820,803,Europe/Berlin
DEU,BY,Nuremberg,49.4521,11.0767,904,Europe/Berlin
DEU,HH,Hamburg,53.5511,9.9937,200,Europe/Berlin
DEU,NW,Cologne,50.9375,6.9603,505,Europe/Berlin
DEU,NW,Dusseldorf,51.2277,6.7735,402,Europe/Berlin
DEU,NW,Dortmund,51.5136,7.4653,442,Europe/Berlin
DEU,HE,Frankfurt,50.1109,8.6821,603,Europe/Berlin
DEU,BW,Stuttgart,48.7758,9.1829,701,Europe/Berlin
DEU,BW,Karlsruhe,49.0069,8.4037,761,Europe/Berlin
DEU,SN,Leipzig,51.3397,12.3731,041,Europe/Berlin
DEU,SN,Dresden,51.0504,13.7373,010,Europe/Berlin
DEU,NI,Hannover,52.3759,9.7320,301,Europe/Berlin
DEU,HB,Bremen,53.0793,8.8017,282,Europe/Berlin
DEU,RP,Mainz,49.9929,8.2473,551,Europe/Berlin
