request_id,cat_id,field_name_key,field_value
request_id_8790,cat_id_1004,field_name_key_6297,field_value_2274
request_id_1855,cat_id_3244,field_name_key_9383,field_value_8203
request_id_7969,cat_id_8728,field_name_key_6359,field_value_5957
request_id_9198,cat_id_2921,field_name_key_4944,field_value_7442
request_id_7181,cat_id_7316,field_name_key_8773,field_value_6816
request_id_6107,cat_id_9552,field_name_key_6193,field_value_9694
request_id_2281,cat_id_4504,field_name_key_3721,field_value_5550
request_id_3341,cat_id_8163,field_name_key_8235,field_value_9029
request_id_5104,cat_id_2970,field_name_key_8133,field_value_6704
request_id_3916,cat_id_1414,field_name_key_6991,field_value_8636
request_id_6668,cat_id_7948,field_name_key_4502,field_value_4129
request_id_7266,cat_id_7130,field_name_key_3932,field_value_1174
request_id_4208,cat_id_8243,field_name_key_6914,field_value_9618
request_id_4193,cat_id_1091,field_name_key_6085,field_value_6381
request_id_2541,cat_id_7043,field_name_key_5157,field_value_9237
request_id_1212,cat_id_5473,field_name_key_1549,field_value_5504
request_id_8843,cat_id_7525,field_name_key_1719,field_value_5145
request_id_5492,cat_id_1937,field_name_key_1498,field_value_8713
request_id_8446,cat_id_9033,field_name_key_3847,field_value_8756
request_id_9938,cat_id_2702,field_name_key_1625,field_value_7054
request_id_1472,cat_id_3509,field_name_key_3898,field_value_3156
request_id_2356,cat_id_7874,field_name_key_2956,field_value_1918
request_id_8264,cat_id_2021,field_name_key_6148,field_value_2597
request_id_9914,cat_id_5546,field_name_key_4181,field_value_1273
request_id_6450,cat_id_6185,field_name_key_3772,field_value_7000
request_id_9459,cat_id_1232,field_name_key_7605,field_value_7821
request_id_2007,cat_id_2064,field_name_key_4161,field_value_9216
request_id_3416,cat_id_5368,field_name_key_2375,field_value_3827
request_id_8264,cat_id_1729,field_name_key_5514,field_value_4255
