user_category_id,user_category,user_category_desc,last_update_date,user_access_level,category_code,is_deprecated,permissions
740,user_category_7566,user_category_desc_3098,2026-08-05 17:30:00,327,category_code_3476,False,{}
258,user_category_7276,user_category_desc_2685,2026-03-15 07:01:00,912,category_code_7975,True,{}
460,user_category_4744,user_category_desc_1433,2026-01-04 03:37:00,163,category_code_9733,False,{}
323,user_category_3251,user_category_desc_5431,2026-02-01 15:10:00,723,category_code_2734,True,{}
363,user_category_4772,user_category_desc_6437,2026-07-01 09:20:00,97,category_code_5438,True,{}
738,user_category_3286,user_category_desc_2644,2026-10-26 05:06:00,307,category_code_4895,True,{}
530,user_category_8235,user_category_desc_8948,2026-10-30 23:40:00,144,category_code_5275,False,{}
620,user_category_3078,user_category_desc_7133,2026-12-22 08:16:00,881,category_code_3151,True,{}
995,user_category_2530,user_category_desc_9220,2026-10-07 16:45:00,839,category_code_5167,False,{}
718,user_category_9842,user_category_desc_2793,2026-10-30 14:47:00,950,category_code_1121,False,{}
791,user_category_9892,user_category_desc_8915,2026-09-10 10:27:00,505,category_code_7262,True,{}
985,user_category_4423,user_category_desc_4841,2026-03-30 03:37:00,572,category_code_8045,False,{}
98,user_category_6864,user_category_desc_1936,2026-03-26 19:29:00,734,category_code_9894,False,{}
984,user_category_8099,user_category_desc_5504,2026-01-31 01:21:00,652,category_code_9248,False,{}
753,user_category_9639,user_category_desc_9690,2026-04-10 08:34:00,176,category_code_6253,False,{}
728,user_category_8828,user_category_desc_3211,2026-07-27 14:01:00,758,category_code_9321,False,{}
408,user_category_8901,user_category_desc_3053,2026-12-05 03:49:00,173,category_code_6937,False,{}
947,user_category_4550,user_category_desc_6224,2026-07-11 11:50:00,600,category_code_7419,True,{}
