req_status_id,req_status,req_status_desc,last_updated_date
841,req_status_5416,req_status_desc_1049,2026-06-11 16:42:00
725,req_status_2077,req_status_desc_6188,2026-03-30 10:16:00
626,req_status_9222,req_status_desc_1620,2026-10-29 18:41:00
851,req_status_9141,req_status_desc_7471,2026-11-08 01:31:00
655,req_status_4664,req_status_desc_2066,2026-04-12 23:37:00
450,req_status_2970,req_status_desc_7792,2026-07-16 04:35:00
768,req_status_5794,req_status_desc_2672,2026-07-30 21:06:00
153,req_status_4543,req_status_desc_8945,2026-05-27 10:31:00
492,req_status_5360,req_status_desc_5067,2026-04-30 14:48:00
331,req_status_8158,req_status_desc_3998,2026-04-19 08:44:00
991,req_status_9444,req_status_desc_5736,2026-10-27 03:58:00
117,req_status_8308,req_status_desc_1240,2026-02-05 07:52:00
933,req_status_5327,req_status_desc_3705,2026-08-10 06:08:00
27,req_status_4511,req_status_desc_8655,2026-01-28 01:29:00
840,req_status_9856,req_status_desc_3810,2026-02-24 11:26:00
57,req_status_3594,req_status_desc_1449,2026-11-20 06:40:00
266,req_status_2557,req_status_desc_9941,2026-02-12 16:23:00
701,req_status_9404,req_status_desc_9265,2026-10-27 23:57:00
151,req_status_2834,req_status_desc_2368,2026-08-16 09:46:00
857,req_status_9806,req_status_desc_9251,2026-11-18 03:18:00
951,req_status_9326,req_status_desc_1500,2026-02-07 02:59:00
409,req_status_5260,req_status_desc_5982,2026-10-01 13:10:00
777,req_status_2970,req_status_desc_8393,2026-07-03 01:32:00
756,req_status_4819,req_status_desc_8214,2026-09-17 20:28:00
955,req_status_1188,req_status_desc_9832,2026-03-30 10:51:00
27,req_status_5251,req_status_desc_9848,2026-01-24 22:30:00
328,req_status_8754,req_status_desc_2535,2026-04-03 15:24:00
577,req_status_2394,req_status_desc_5907,2026-11-01 21:05:00
783,req_status_2376,req_status_desc_3585,2026-09-20 00:43:00
837,req_status_5430,req_status_desc_3709,2026-11-05 06:27:00
574,req_status_9268,req_status_desc_3464,2026-08-27 08:48:00
402,req_status_8817,req_status_desc_1819,2026-05-17 10:37:00
364,req_status_4757,req_status_desc_2931,2026-05-13 11:50:00
595,req_status_7938,req_status_desc_2843,2026-07-01 22:02:00
507,req_status_5065,req_status_desc_3900,2026-09-07 18:43:00
916,req_status_4672,req_status_desc_6460,2026-07-13 20:06:00
798,req_status_8540,req_status_desc_7523,2026-04-04 18:40:00
47,req_status_7908,req_status_desc_5637,2026-11-09 21:24:00
560,req_status_5073,req_status_desc_5338,2026-11-10 22:01:00
273,req_status_8422,req_status_desc_9383,2026-06-09 13:04:00
455,req_status_1190,req_status_desc_3505,2026-10-15 19:06:00
396,req_status_3332,req_status_desc_3618,2026-07-03 03:48:00
249,req_status_7662,req_status_desc_5509,2026-10-06 02:08:00
1,req_status_9233,req_status_desc_4637,2026-05-18 02:25:00
546,req_status_9221,req_status_desc_4734,2026-11-11 10:56:00
447,req_status_3252,req_status_desc_5235,2026-07-23 00:09:00
771,req_status_9637,req_status_desc_8293,2026-11-06 03:04:00
436,req_status_1361,req_status_desc_2038,2026-02-15 18:04:00
220,req_status_2850,req_status_desc_5067,2026-07-04 06:48:00
615,req_status_3674,req_status_desc_4351,2027-01-01 22:06:00
239,req_status_4495,req_status_desc_8784,2026-07-28 09:21:00
192,req_status_5073,req_status_desc_1717,2026-05-11 19:35:00
524,req_status_2546,req_status_desc_7563,2026-06-21 07:01:00
932,req_status_3712,req_status_desc_6903,2026-05-23 18:31:00
149,req_status_5295,req_status_desc_3040,2026-11-12 12:27:00
326,req_status_1517,req_status_desc_4166,2026-12-23 18:17:00
29,req_status_7822,req_status_desc_7587,2026-02-03 00:48:00
759,req_status_8933,req_status_desc_2070,2026-09-22 13:44:00
265,req_status_9818,req_status_desc_9955,2026-11-19 10:34:00
555,req_status_1046,req_status_desc_7565,2026-08-26 02:09:00
100,req_status_5448,req_status_desc_2304,2026-08-15 17:26:00
530,req_status_2713,req_status_desc_4710,2026-06-18 04:11:00
942,req_status_7463,req_status_desc_7169,2026-05-17 02:27:00
632,req_status_9821,req_status_desc_5079,2026-12-25 03:25:00
714,req_status_8214,req_status_desc_6105,2026-09-17 21:36:00
320,req_status_2479,req_status_desc_6362,2026-06-25 03:16:00
322,req_status_1807,req_status_desc_2812,2026-03-06 04:08:00
