en_id,country_id,state_id,en_name,is_country,police,ambulance,fire,non_emergency,cyber_police,medicare_support,gas_leak,electricity_outage,water_department,disaster_recovery,flood_help,earthquake_info,hurricane_info,emergency_mgmt,environmental_hazards,transportation_assistance,roadside_assistance,highway_patrol,suicide,help_women,child_abuse,domestic_abuse,mental_health,elderly_abuse,poison_control,animal_control,wildlife_rescue,homeless_services,food_assistance
714,427,state_id_7688,en_name_3444,False,police_7167,ambulance_4012,fire_9813,non_emergency_8758,cyber_police_4948,medicare_support_4692,gas_leak_5927,electricity_outage_3365,water_department_8586,disaster_recovery_1944,flood_help_7761,earthquake_info_7824,hurricane_info_9683,emergency_mgmt_3196,environmental_hazards_7363,transportation_assistance_4978,roadside_assistance_5177,highway_patrol_4331,suicide_6411,help_women_2295,child_abuse_8369,domestic_abuse_7079,mental_health_2514,elderly_abuse_9775,poison_control_4120,animal_control_1844,wildlife_rescue_5398,homeless_services_7179,food_assistance_1647
895,75,state_id_4082,en_name_4555,False,police_4422,ambulance_6455,fire_5967,non_emergency_1251,cyber_police_4470,medicare_support_4113,gas_leak_2922,electricity_outage_8846,water_department_4974,disaster_recovery_4350,flood_help_7498,earthquake_info_4921,hurricane_info_6269,emergency_mgmt_5637,environmental_hazards_7236,transportation_assistance_8639,roadside_assistance_9743,highway_patrol_6886,suicide_6053,help_women_5285,child_abuse_6892,domestic_abuse_9401,mental_health_9147,elderly_abuse_8635,poison_control_2615,animal_control_8692,wildlife_rescue_6246,homeless_services_4328,food_assistance_7073
321,424,state_id_1749,en_name_4625,True,police_1265,ambulance_5272,fire_7841,non_emergency_5836,cyber_police_3497,medicare_support_4214,gas_leak_6404,electricity_outage_4768,water_department_7223,disaster_recovery_5026,flood_help_9180,earthquake_info_6530,hurricane_info_5216,emergency_mgmt_9005,environmental_hazards_9037,transportation_assistance_8550,roadside_assistance_3756,highway_patrol_6770,suicide_3773,help_women_3293,child_abuse_9954,domestic_abuse_9000,mental_health_4015,elderly_abuse_9882,poison_control_1962,animal_control_9584,wildlife_rescue_1554,homeless_services_2217,food_assistance_1794
783,7,state_id_7756,en_name_3252,True,police_2113,ambulance_3474,fire_1149,non_emergency_4583,cyber_police_9285,medicare_support_8471,gas_leak_7114,electricity_outage_1990,water_department_8916,disaster_recovery_8993,flood_help_1257,earthquake_info_1108,hurricane_info_9719,emergency_mgmt_7739,environmental_hazards_1194,transportation_assistance_1274,roadside_assistance_9673,highway_patrol_5501,suicide_9777,help_women_5697,child_abuse_1280,domestic_abuse_9228,mental_health_8054,elderly_abuse_3937,poison_control_2753,animal_control_2578,wildlife_rescue_9591,homeless_services_3439,food_assistance_4948
197,635,state_id_9625,en_name_5135,False,police_5379,ambulance_7502,fire_2294,non_emergency_7112,cyber_police_7652,medicare_support_8520,gas_leak_4984,electricity_outage_4700,water_department_5914,disaster_recovery_2320,flood_help_1519,earthquake_info_2531,hurricane_info_7640,emergency_mgmt_7213,environmental_hazards_7179,transportation_assistance_8798,roadside_assistance_1919,highway_patrol_1154,suicide_3807,help_women_2354,child_abuse_9189,domestic_abuse_8109,mental_health_6427,elderly_abuse_2562,poison_control_9653,animal_control_1697,wildlife_rescue_4764,homeless_services_4463,food_assistance_8790
278,48,state_id_2218,en_name_5593,True,police_3938,ambulance_6152,fire_1256,non_emergency_4394,cyber_police_3362,medicare_support_7525,gas_leak_2260,electricity_outage_5903,water_department_3661,disaster_recovery_4939,flood_help_7375,earthquake_info_9856,hurricane_info_6435,emergency_mgmt_7288,environmental_hazards_3292,transportation_assistance_2284,roadside_assistance_9204,highway_patrol_6666,suicide_1879,help_women_2600,child_abuse_8161,domestic_abuse_4803,mental_health_2245,elderly_abuse_6580,poison_control_7499,animal_control_6347,wildlife_rescue_1485,homeless_services_5478,food_assistance_8381
503,234,state_id_6829,en_name_7150,False,police_4043,ambulance_7227,fire_2404,non_emergency_5839,cyber_police_5037,medicare_support_2204,gas_leak_2344,electricity_outage_5390,water_department_3526,disaster_recovery_7225,flood_help_3527,earthquake_info_7383,hurricane_info_6188,emergency_mgmt_6909,environmental_hazards_2745,transportation_assistance_2499,roadside_assistance_1085,highway_patrol_6050,suicide_8286,help_women_6896,child_abuse_5419,domestic_abuse_2674,mental_health_3170,elderly_abuse_2430,poison_control_4070,animal_control_8061,wildlife_rescue_8353,homeless_services_9395,food_assistance_7685
106,27,state_id_2468,en_name_6798,True,police_6315,ambulance_7311,fire_1202,non_emergency_5781,cyber_police_7779,medicare_support_7353,gas_leak_2387,electricity_outage_4977,water_department_9537,disaster_recovery_3778,flood_help_7237,earthquake_info_3777,hurricane_info_3274,emergency_mgmt_5405,environmental_hazards_5933,transportation_assistance_5397,roadside_assistance_9079,highway_patrol_3390,suicide_2036,help_women_3739,child_abuse_8121,domestic_abuse_5521,mental_health_7899,elderly_abuse_5911,poison_control_8933,animal_control_2260,wildlife_rescue_6916,homeless_services_5123,food_assistance_5040
739,641,state_id_9123,en_name_4203,False,police_2752,ambulance_3219,fire_5991,non_emergency_1110,cyber_police_7483,medicare_support_6443,gas_leak_7224,electricity_outage_6399,water_department_8212,disaster_recovery_6484,flood_help_8055,earthquake_info_3230,hurricane_info_5922,emergency_mgmt_6253,environmental_hazards_4290,transportation_assistance_8848,roadside_assistance_6147,highway_patrol_3910,suicide_7524,help_women_6228,child_abuse_5775,domestic_abuse_9044,mental_health_4971,elderly_abuse_6339,poison_control_7161,animal_control_5592,wildlife_rescue_7437,homeless_services_6980,food_assistance_2865
955,578,state_id_4273,en_name_9939,True,police_1440,ambulance_8563,fire_4434,non_emergency_8183,cyber_police_5773,medicare_support_2133,gas_leak_7703,electricity_outage_9180,water_department_3280,disaster_recovery_5961,flood_help_4965,earthquake_info_5139,hurricane_info_3525,emergency_mgmt_7932,environmental_hazards_7176,transportation_assistance_2211,roadside_assistance_8357,highway_patrol_8851,suicide_7566,help_women_9755,child_abuse_9300,domestic_abuse_7853,mental_health_9907,elderly_abuse_1602,poison_control_6890,animal_control_9796,wildlife_rescue_2392,homeless_services_2791,food_assistance_5067
674,681,state_id_6816,en_name_3725,True,police_7547,ambulance_6432,fire_8052,non_emergency_2735,cyber_police_1172,medicare_support_2615,gas_leak_5239,electricity_outage_4637,water_department_9366,disaster_recovery_9499,flood_help_4621,earthquake_info_8303,hurricane_info_7129,emergency_mgmt_7408,environmental_hazards_8586,transportation_assistance_9199,roadside_assistance_3469,highway_patrol_6651,suicide_1402,help_women_8909,child_abuse_2712,domestic_abuse_5840,mental_health_7815,elderly_abuse_2406,poison_control_2901,animal_control_3321,wildlife_rescue_6707,homeless_services_6110,food_assistance_6620
467,804,state_id_4389,en_name_9537,False,police_6706,ambulance_8801,fire_2599,non_emergency_8178,cyber_police_8412,medicare_support_6225,gas_leak_2100,electricity_outage_5919,water_department_1732,disaster_recovery_2885,flood_help_1370,earthquake_info_6620,hurricane_info_2791,emergency_mgmt_3692,environmental_hazards_4996,transportation_assistance_9454,roadside_assistance_3858,highway_patrol_3623,suicide_6422,help_women_7985,child_abuse_8570,domestic_abuse_4798,mental_health_7636,elderly_abuse_4022,poison_control_4053,animal_control_8080,wildlife_rescue_7481,homeless_services_1478,food_assistance_4232
461,607,state_id_8037,en_name_7370,True,police_4519,ambulance_4371,fire_5560,non_emergency_2025,cyber_police_2667,medicare_support_9796,gas_leak_4063,electricity_outage_6993,water_department_6340,disaster_recovery_4228,flood_help_8496,earthquake_info_2867,hurricane_info_5298,emergency_mgmt_9019,environmental_hazards_9646,transportation_assistance_6134,roadside_assistance_7367,highway_patrol_7431,suicide_2871,help_women_6700,child_abuse_6766,domestic_abuse_8501,mental_health_3826,elderly_abuse_5873,poison_control_2388,animal_control_3194,wildlife_rescue_6131,homeless_services_2931,food_assistance_4908
313,120,state_id_3999,en_name_7116,True,police_9369,ambulance_7364,fire_7852,non_emergency_3258,cyber_police_7286,medicare_support_7931,gas_leak_4043,electricity_outage_8973,water_department_9804,disaster_recovery_3838,flood_help_3733,earthquake_info_9022,hurricane_info_5732,emergency_mgmt_3298,environmental_hazards_4065,transportation_assistance_6154,roadside_assistance_8389,highway_patrol_1878,suicide_6882,help_women_1157,child_abuse_8939,domestic_abuse_3236,mental_health_4196,elderly_abuse_7290,poison_control_9281,animal_control_9109,wildlife_rescue_7703,homeless_services_9056,food_assistance_7809
728,861,state_id_8272,en_name_9006,True,police_2354,ambulance_1505,fire_4613,non_emergency_5785,cyber_police_1535,medicare_support_5503,gas_leak_4683,electricity_outage_9808,water_department_5729,disaster_recovery_3755,flood_help_8492,earthquake_info_9115,hurricane_info_9369,emergency_mgmt_2854,environmental_hazards_2871,transportation_assistance_5389,roadside_assistance_9898,highway_patrol_7010,suicide_9880,help_women_1681,child_abuse_8231,domestic_abuse_9951,mental_health_4580,elderly_abuse_7965,poison_control_2677,animal_control_5055,wildlife_rescue_5877,homeless_services_1528,food_assistance_8368
270,357,state_id_2425,en_name_8193,True,police_4882,ambulance_4438,fire_6744,non_emergency_8015,cyber_police_3719,medicare_support_3281,gas_leak_4385,electricity_outage_4390,water_department_1972,disaster_recovery_6747,flood_help_9720,earthquake_info_5605,hurricane_info_9827,emergency_mgmt_3758,environmental_hazards_6302,transportation_assistance_5794,roadside_assistance_5740,highway_patrol_5380,suicide_9428,help_women_2560,child_abuse_3221,domestic_abuse_7743,mental_health_1971,elderly_abuse_5543,poison_control_3078,animal_control_3174,wildlife_rescue_5090,homeless_services_3396,food_assistance_6277
849,254,state_id_7434,en_name_9019,True,police_5402,ambulance_7786,fire_7146,non_emergency_8405,cyber_police_2237,medicare_support_2525,gas_leak_7600,electricity_outage_9447,water_department_5558,disaster_recovery_7046,flood_help_8449,earthquake_info_8996,hurricane_info_6362,emergency_mgmt_1040,environmental_hazards_2526,transportation_assistance_8511,roadside_assistance_6869,highway_patrol_2037,suicide_9756,help_women_7516,child_abuse_4568,domestic_abuse_8039,mental_health_4470,elderly_abuse_9105,poison_control_5399,animal_control_6289,wildlife_rescue_5646,homeless_services_6533,food_assistance_9967
592,134,state_id_8951,en_name_6631,True,police_1752,ambulance_2631,fire_8529,non_emergency_1266,cyber_police_3035,medicare_support_3588,gas_leak_8230,electricity_outage_8479,water_department_1011,disaster_recovery_8009,flood_help_4314,earthquake_info_3161,hurricane_info_5945,emergency_mgmt_3604,environmental_hazards_5489,transportation_assistance_2529,roadside_assistance_6905,highway_patrol_5102,suicide_2350,help_women_7092,child_abuse_3711,domestic_abuse_1848,mental_health_7493,elderly_abuse_6005,poison_control_4836,animal_control_8032,wildlife_rescue_2494,homeless_services_2559,food_assistance_1017
219,489,state_id_2276,en_name_3174,True,police_9510,ambulance_8291,fire_1152,non_emergency_1132,cyber_police_6629,medicare_support_2975,gas_leak_7919,electricity_outage_3165,water_department_8826,disaster_recovery_2160,flood_help_4751,earthquake_info_7276,hurricane_info_2463,emergency_mgmt_2678,environmental_hazards_2690,transportation_assistance_6133,roadside_assistance_7022,highway_patrol_5902,suicide_3246,help_women_7270,child_abuse_3181,domestic_abuse_3340,mental_health_2120,elderly_abuse_9691,poison_control_1138,animal_control_3688,wildlife_rescue_8210,homeless_services_6753,food_assistance_4490
644,767,state_id_3480,en_name_7745,False,police_4559,ambulance_2420,fire_2646,non_emergency_3293,cyber_police_3017,medicare_support_7291,gas_leak_6759,electricity_outage_8035,water_department_6152,disaster_recovery_3290,flood_help_5059,earthquake_info_5537,hurricane_info_2380,emergency_mgmt_5065,environmental_hazards_5668,transportation_assistance_1439,roadside_assistance_5942,highway_patrol_4366,suicide_9482,help_women_9348,child_abuse_4090,domestic_abuse_7418,mental_health_5842,elderly_abuse_1894,poison_control_4921,animal_control_9108,wildlife_rescue_7322,homeless_services_2847,food_assistance_4949
512,654,state_id_2163,en_name_9655,True,police_6916,ambulance_6185,fire_3162,non_emergency_7337,cyber_police_7895,medicare_support_6986,gas_leak_9951,electricity_outage_3830,water_department_8717,disaster_recovery_2195,flood_help_1273,earthquake_info_2106,hurricane_info_1225,emergency_mgmt_5295,environmental_hazards_4534,transportation_assistance_1652,roadside_assistance_1990,highway_patrol_7520,suicide_9300,help_women_5693,child_abuse_9209,domestic_abuse_7806,mental_health_7939,elderly_abuse_7590,poison_control_2350,animal_control_9791,wildlife_rescue_9808,homeless_services_3501,food_assistance_5546
86,318,state_id_2294,en_name_9377,True,police_3545,ambulance_9788,fire_6353,non_emergency_7401,cyber_police_2083,medicare_support_6081,gas_leak_8167,electricity_outage_4909,water_department_1948,disaster_recovery_5005,flood_help_2412,earthquake_info_8118,hurricane_info_2900,emergency_mgmt_8428,environmental_hazards_1901,transportation_assistance_6067,roadside_assistance_3877,highway_patrol_2956,suicide_1207,help_women_3248,child_abuse_1185,domestic_abuse_3684,mental_health_9133,elderly_abuse_6680,poison_control_9568,animal_control_9474,wildlife_rescue_5247,homeless_services_3735,food_assistance_7092
130,768,state_id_5403,en_name_2934,True,police_6488,ambulance_8034,fire_5456,non_emergency_9582,cyber_police_2046,medicare_support_5308,gas_leak_2262,electricity_outage_9128,water_department_8457,disaster_recovery_9368,flood_help_6900,earthquake_info_1908,hurricane_info_9185,emergency_mgmt_3734,environmental_hazards_7024,transportation_assistance_3577,roadside_assistance_5179,highway_patrol_2685,suicide_2889,help_women_4742,child_abuse_9336,domestic_abuse_1042,mental_health_1721,elderly_abuse_1201,poison_control_5006,animal_control_1753,wildlife_rescue_8729,homeless_services_6963,food_assistance_7274
943,154,state_id_3932,en_name_1579,False,police_4678,ambulance_6272,fire_5067,non_emergency_7819,cyber_police_6241,medicare_support_5444,gas_leak_2276,electricity_outage_7108,water_department_2956,disaster_recovery_9225,flood_help_1862,earthquake_info_3938,hurricane_info_4656,emergency_mgmt_9450,environmental_hazards_1752,transportation_assistance_7568,roadside_assistance_2129,highway_patrol_8620,suicide_5625,help_women_6090,child_abuse_6362,domestic_abuse_2415,mental_health_8483,elderly_abuse_1130,poison_control_7044,animal_control_4287,wildlife_rescue_5777,homeless_services_5979,food_assistance_4974
476,378,state_id_9083,en_name_4201,True,police_3466,ambulance_1104,fire_7718,non_emergency_1391,cyber_police_4817,medicare_support_9872,gas_leak_6675,electricity_outage_1157,water_department_6488,disaster_recovery_1023,flood_help_7164,earthquake_info_6038,hurricane_info_2703,emergency_mgmt_4361,environmental_hazards_9680,transportation_assistance_4902,roadside_assistance_7878,highway_patrol_9061,suicide_1981,help_women_3332,child_abuse_5584,domestic_abuse_2524,mental_health_1719,elderly_abuse_4792,poison_control_9515,animal_control_7767,wildlife_rescue_7102,homeless_services_8511,food_assistance_2391
595,98,state_id_9280,en_name_3187,False,police_2226,ambulance_2020,fire_8126,non_emergency_3141,cyber_police_4879,medicare_support_5778,gas_leak_5276,electricity_outage_6161,water_department_7438,disaster_recovery_6345,flood_help_6211,earthquake_info_8417,hurricane_info_5455,emergency_mgmt_4827,environmental_hazards_2223,transportation_assistance_4321,roadside_assistance_3230,highway_patrol_2785,suicide_3546,help_women_2731,child_abuse_3693,domestic_abuse_8365,mental_health_8635,elderly_abuse_6145,poison_control_7660,animal_control_2978,wildlife_rescue_9780,homeless_services_6870,food_assistance_4401
463,316,state_id_8591,en_name_5341,True,police_2481,ambulance_3582,fire_5984,non_emergency_1660,cyber_police_4522,medicare_support_6370,gas_leak_3430,electricity_outage_2494,water_department_5066,disaster_recovery_6828,flood_help_7492,earthquake_info_9412,hurricane_info_1802,emergency_mgmt_5896,environmental_hazards_5262,transportation_assistance_3848,roadside_assistance_1509,highway_patrol_7625,suicide_8408,help_women_5093,child_abuse_2551,domestic_abuse_8570,mental_health_2669,elderly_abuse_3290,poison_control_2989,animal_control_1195,wildlife_rescue_2010,homeless_services_4641,food_assistance_3141
203,844,state_id_7563,en_name_7098,True,police_5240,ambulance_2228,fire_1357,non_emergency_2056,cyber_police_4239,medicare_support_8265,gas_leak_3110,electricity_outage_2506,water_department_6432,disaster_recovery_3007,flood_help_1699,earthquake_info_8552,hurricane_info_1829,emergency_mgmt_3752,environmental_hazards_8096,transportation_assistance_7471,roadside_assistance_9128,highway_patrol_1483,suicide_7270,help_women_7990,child_abuse_3831,domestic_abuse_6799,mental_health_4517,elderly_abuse_4066,poison_control_5505,animal_control_5585,wildlife_rescue_8307,homeless_services_3435,food_assistance_1567
629,635,state_id_5026,en_name_5835,False,police_7750,ambulance_8848,fire_1999,non_emergency_2437,cyber_police_5583,medicare_support_7275,gas_leak_3248,electricity_outage_7868,water_department_4267,disaster_recovery_9614,flood_help_5082,earthquake_info_9907,hurricane_info_1319,emergency_mgmt_7266,environmental_hazards_6883,transportation_assistance_8859,roadside_assistance_9921,highway_patrol_8940,suicide_6636,help_women_9231,child_abuse_6269,domestic_abuse_7363,mental_health_5430,elderly_abuse_3946,poison_control_1427,animal_control_6224,wildlife_rescue_4588,homeless_services_1480,food_assistance_5602
60,829,state_id_8728,en_name_9674,False,police_4813,ambulance_3615,fire_2640,non_emergency_5060,cyber_police_4951,medicare_support_5366,gas_leak_9743,electricity_outage_1916,water_department_4594,disaster_recovery_7363,flood_help_6813,earthquake_info_3846,hurricane_info_3885,emergency_mgmt_4875,environmental_hazards_6210,transportation_assistance_6878,roadside_assistance_1462,highway_patrol_6761,suicide_3328,help_women_4084,child_abuse_9064,domestic_abuse_9882,mental_health_6063,elderly_abuse_3876,poison_control_9035,animal_control_1621,wildlife_rescue_2478,homeless_services_1920,food_assistance_4811
617,225,state_id_1326,en_name_9625,False,police_1011,ambulance_6435,fire_4300,non_emergency_3137,cyber_police_6582,medicare_support_3907,gas_leak_6301,electricity_outage_1975,water_department_1359,disaster_recovery_3420,flood_help_3320,earthquake_info_2817,hurricane_info_9622,emergency_mgmt_6978,environmental_hazards_2188,transportation_assistance_7120,roadside_assistance_7481,highway_patrol_2655,suicide_6514,help_women_5944,child_abuse_6285,domestic_abuse_3235,mental_health_3580,elderly_abuse_8157,poison_control_8982,animal_control_6198,wildlife_rescue_3854,homeless_services_6846,food_assistance_4657
682,604,state_id_3872,en_name_7199,False,police_5825,ambulance_3086,fire_3911,non_emergency_1029,cyber_police_7415,medicare_support_1530,gas_leak_3983,electricity_outage_6213,water_department_4619,disaster_recovery_2705,flood_help_9129,earthquake_info_3304,hurricane_info_6425,emergency_mgmt_2274,environmental_hazards_4899,transportation_assistance_6682,roadside_assistance_6234,highway_patrol_3750,suicide_2453,help_women_6500,child_abuse_8317,domestic_abuse_1186,mental_health_5345,elderly_abuse_4435,poison_control_5088,animal_control_2110,wildlife_rescue_6742,homeless_services_5205,food_assistance_2770
738,2,state_id_1788,en_name_7323,False,police_7875,ambulance_3725,fire_7783,non_emergency_9078,cyber_police_7204,medicare_support_6754,gas_leak_9946,electricity_outage_7149,water_department_2661,disaster_recovery_8855,flood_help_4695,earthquake_info_3664,hurricane_info_8393,emergency_mgmt_2207,environmental_hazards_1547,transportation_assistance_5831,roadside_assistance_1328,highway_patrol_6221,suicide_5278,help_women_2715,child_abuse_2215,domestic_abuse_6600,mental_health_3787,elderly_abuse_7151,poison_control_3636,animal_control_2228,wildlife_rescue_9962,homeless_services_2525,food_assistance_6536
609,629,state_id_8909,en_name_1507,False,police_3703,ambulance_8113,fire_3573,non_emergency_1877,cyber_police_2659,medicare_support_6424,gas_leak_4367,electricity_outage_4112,water_department_7705,disaster_recovery_9849,flood_help_5346,earthquake_info_5612,hurricane_info_5872,emergency_mgmt_4891,environmental_hazards_2571,transportation_assistance_1813,roadside_assistance_7437,highway_patrol_9043,suicide_3516,help_women_1893,child_abuse_6911,domestic_abuse_1062,mental_health_8005,elderly_abuse_2435,poison_control_5825,animal_control_8869,wildlife_rescue_4271,homeless_services_2589,food_assistance_1421
212,175,state_id_5781,en_name_2342,False,police_2892,ambulance_6052,fire_7512,non_emergency_8715,cyber_police_9013,medicare_support_5341,gas_leak_2493,electricity_outage_9914,water_department_7349,disaster_recovery_4029,flood_help_7078,earthquake_info_7249,hurricane_info_7052,emergency_mgmt_4056,environmental_hazards_8303,transportation_assistance_1731,roadside_assistance_5313,highway_patrol_8204,suicide_8619,help_women_5315,child_abuse_4706,domestic_abuse_5400,mental_health_2009,elderly_abuse_3476,poison_control_2584,animal_control_2404,wildlife_rescue_6632,homeless_services_9871,food_assistance_7782
995,775,state_id_4727,en_name_1999,False,police_9561,ambulance_7858,fire_9773,non_emergency_8779,cyber_police_4860,medicare_support_8803,gas_leak_5896,electricity_outage_2293,water_department_7468,disaster_recovery_1568,flood_help_9226,earthquake_info_9467,hurricane_info_3415,emergency_mgmt_2970,environmental_hazards_8357,transportation_assistance_3832,roadside_assistance_3738,highway_patrol_4471,suicide_4157,help_women_3067,child_abuse_1699,domestic_abuse_7936,mental_health_2283,elderly_abuse_8133,poison_control_4308,animal_control_3422,wildlife_rescue_5225,homeless_services_6238,food_assistance_2097
90,398,state_id_7510,en_name_6343,False,police_9514,ambulance_8506,fire_1202,non_emergency_9561,cyber_police_7874,medicare_support_2843,gas_leak_7790,electricity_outage_3451,water_department_3428,disaster_recovery_2641,flood_help_2730,earthquake_info_2654,hurricane_info_5687,emergency_mgmt_9775,environmental_hazards_6633,transportation_assistance_7732,roadside_assistance_5327,highway_patrol_7275,suicide_8955,help_women_8750,child_abuse_1613,domestic_abuse_3821,mental_health_5512,elderly_abuse_7602,poison_control_3356,animal_control_7581,wildlife_rescue_1635,homeless_services_7484,food_assistance_6431
