req_priority_id,req_priority,req_priority_desc,last_updated_date
309,req_priority_9535,req_priority_desc_2697,2026-03-18 18:11:00
103,req_priority_2476,req_priority_desc_5660,2026-01-13 02:43:00
405,req_priority_9598,req_priority_desc_3303,2026-06-22 09:36:00
681,req_priority_6351,req_priority_desc_3205,2026-03-19 04:18:00
385,req_priority_3110,req_priority_desc_1280,2026-10-30 15:44:00
868,req_priority_7008,req_priority_desc_6733,2026-07-14 11:51:00
760,req_priority_1020,req_priority_desc_4516,2026-12-09 03:38:00
354,req_priority_3100,req_priority_desc_9135,2026-01-09 12:14:00
993,req_priority_8433,req_priority_desc_2943,2026-03-14 17:12:00
435,req_priority_6882,req_priority_desc_6351,2026-10-04 20:24:00
315,req_priority_3135,req_priority_desc_4473,2026-01-14 17:04:00
910,req_priority_3558,req_priority_desc_1420,2026-03-15 00:59:00
56,req_priority_7921,req_priority_desc_3017,2026-07-06 04:10:00
491,req_priority_4781,req_priority_desc_9107,2026-05-23 10:10:00
614,req_priority_2007,req_priority_desc_8259,2026-02-13 22:27:00
