user_id,org_id,user_role,created_at,last_updated_at
user_id_6131,org_id_3776,user_role_9248,2026-06-05 13:40:00,2026-05-28 11:46:00
user_id_1615,org_id_8748,user_role_5874,2026-01-28 13:57:00,2026-09-11 17:01:00
user_id_8116,org_id_8753,user_role_7010,2026-09-17 14:27:00,2026-08-21 22:08:00
user_id_7082,org_id_1039,user_role_8040,2026-03-23 09:53:00,2026-01-21 16:45:00
user_id_7632,org_id_4127,user_role_9328,2026-12-06 20:40:00,2026-07-26 17:26:00
user_id_2162,org_id_5632,user_role_8337,2026-05-17 19:38:00,2026-09-07 05:37:00
user_id_4422,org_id_2711,user_role_9564,2026-04-23 03:44:00,2026-10-21 06:31:00
user_id_9874,org_id_5551,user_role_2267,2026-05-13 04:58:00,2026-12-29 01:27:00
user_id_1563,org_id_6160,user_role_6137,2026-01-08 18:38:00,2026-12-27 06:13:00
user_id_3341,org_id_7831,user_role_8151,2026-06-01 15:08:00,2026-03-10 08:14:00
user_id_5214,org_id_7242,user_role_2661,2026-03-08 12:10:00,2026-10-09 03:45:00
user_id_9743,org_id_2222,user_role_2709,2026-06-19 04:18:00,2026-10-15 19:14:00
user_id_5120,org_id_1266,user_role_1066,2026-12-25 11:11:00,2026-12-17 23:27:00
user_id_3676,org_id_3252,user_role_4163,2026-10-31 01:45:00,2026-06-06 00:19:00
user_id_3828,org_id_3647,user_role_6587,2026-07-24 07:29:00,2026-09-17 07:31:00
user_id_2052,org_id_9411,user_role_9211,2026-09-27 13:58:00,2026-03-07 15:28:00
user_id_9615,org_id_9946,user_role_8914,2026-01-30 19:42:00,2026-10-07 18:04:00
user_id_7355,org_id_9555,user_role_1810,2026-07-17 07:04:00,2026-04-14 07:46:00
user_id_5184,org_id_7063,user_role_7566,2026-06-06 23:47:00,2026-10-23 04:34:00
user_id_5440,org_id_7412,user_role_1401,2026-12-14 19:32:00,2026-08-09 06:28:00
user_id_5412,org_id_7337,user_role_4158,2026-12-15 02:15:00,2026-01-03 04:54:00
user_id_8287,org_id_3525,user_role_4298,2026-07-22 12:03:00,2026-10-06 10:36:00
user_id_3305,org_id_7835,user_role_2370,2026-07-16 21:08:00,2026-01-04 12:26:00
user_id_6286,org_id_6838,user_role_6220,2026-08-20 06:32:00,2026-07-28 17:21:00
user_id_9179,org_id_9564,user_role_7530,2026-06-15 19:48:00,2026-07-04 00:22:00
user_id_2636,org_id_3820,user_role_5174,2026-08-29 22:17:00,2026-01-03 09:03:00
user_id_7331,org_id_9581,user_role_8313,2026-06-23 01:50:00,2026-08-02 01:54:00
user_id_3175,org_id_5770,user_role_1941,2026-07-02 11:26:00,2026-07-15 20:16:00
user_id_6326,org_id_2745,user_role_3521,2026-03-31 17:55:00,2026-06-04 17:04:00
user_id_9393,org_id_8738,user_role_5851,2026-01-03 13:51:00,2026-04-14 15:33:00
user_id_7660,org_id_9755,user_role_7976,2026-01-10 01:49:00,2026-04-30 19:52:00
user_id_8699,org_id_1686,user_role_2040,2026-08-20 09:15:00,2026-07-29 15:02:00
user_id_5887,org_id_5387,user_role_3521,2026-04-20 01:41:00,2026-07-30 10:11:00
