req_id,req_user_id,req_for_id,req_islead_id,req_cat_id,req_type_id,req_priority_id,req_status_id,req_loc,iscalamity,req_subj,req_desc,req_doc_link,audio_req_desc,submission_date,serviced_date,last_update_date,to_public
req_id_3031,req_user_id_2241,193,192,req_cat_id_6265,775,234,167,req_loc_7466,False,req_subj_7754,req_desc_9301,req_doc_link_5676,audio_req_desc_4575,2026-08-07 17:52:00,2026-06-27 08:15:00,2026-09-29 09:41:00,False
req_id_5611,req_user_id_3642,67,64,req_cat_id_2028,506,353,925,req_loc_1989,False,req_subj_2309,req_desc_8306,req_doc_link_1196,audio_req_desc_2445,2026-06-14 03:49:00,2026-07-06 07:43:00,2026-11-08 06:04:00,False
req_id_6227,req_user_id_8385,367,761,req_cat_id_8871,380,512,308,req_loc_9013,False,req_subj_9944,req_desc_4117,req_doc_link_4737,audio_req_desc_3794,2026-01-23 07:22:00,2026-07-29 23:56:00,2026-08-25 19:59:00,False
req_id_8596,req_user_id_8608,464,157,req_cat_id_3327,756,769,395,req_loc_7874,True,req_subj_3284,req_desc_6189,req_doc_link_7249,audio_req_desc_3447,2026-07-24 20:00:00,2026-08-12 06:57:00,2026-03-30 13:37:00,True
req_id_4555,req_user_id_2553,17,401,req_cat_id_8737,154,278,346,req_loc_4240,True,req_subj_9148,req_desc_7426,req_doc_link_3593,audio_req_desc_5972,2026-10-09 17:14:00,2026-04-09 00:38:00,2026-09-13 22:27:00,True
req_id_8984,req_user_id_1979,362,985,req_cat_id_2736,69,976,332,req_loc_8810,False,req_subj_3317,req_desc_4852,req_doc_link_9499,audio_req_desc_9097,2026-04-21 22:31:00,2026-01-07 18:40:00,2026-03-23 19:40:00,False
req_id_8028,req_user_id_2996,614,133,req_cat_id_9677,289,350,743,req_loc_7117,True,req_subj_7054,req_desc_8758,req_doc_link_2034,audio_req_desc_1290,2026-08-17 20:26:00,2026-05-07 15:20:00,2026-12-19 16:58:00,False
req_id_8801,req_user_id_5596,569,349,req_cat_id_6424,716,200,924,req_loc_3082,False,req_subj_4750,req_desc_4883,req_doc_link_5081,audio_req_desc_9005,2026-10-17 00:56:00,2026-01-10 19:32:00,2026-02-18 21:48:00,True
req_id_6269,req_user_id_2332,542,503,req_cat_id_8580,618,923,913,req_loc_5358,True,req_subj_8364,req_desc_7382,req_doc_link_4165,audio_req_desc_5525,2026-12-31 13:23:00,2026-02-01 00:15:00,2026-04-26 05:00:00,False
req_id_6835,req_user_id_8906,576,150,req_cat_id_5468,980,328,497,req_loc_6147,True,req_subj_4083,req_desc_2972,req_doc_link_5843,audio_req_desc_1992,2026-04-11 01:51:00,2026-09-16 18:15:00,2026-07-12 22:44:00,True
req_id_5885,req_user_id_5276,210,148,req_cat_id_5851,26,30,668,req_loc_7904,True,req_subj_7039,req_desc_8617,req_doc_link_3418,audio_req_desc_8318,2026-11-17 21:35:00,2026-03-23 04:28:00,2026-06-10 12:59:00,False
req_id_8470,req_user_id_5521,203,724,req_cat_id_8427,292,167,601,req_loc_3105,False,req_subj_1277,req_desc_3030,req_doc_link_1858,audio_req_desc_6349,2026-10-11 00:23:00,2026-03-14 19:53:00,2026-07-13 02:01:00,False
req_id_6306,req_user_id_7480,183,335,req_cat_id_1565,660,290,332,req_loc_1645,True,req_subj_3160,req_desc_9137,req_doc_link_2046,audio_req_desc_2112,2026-03-13 13:06:00,2026-09-25 14:45:00,2026-05-01 11:48:00,False
req_id_6850,req_user_id_6540,84,423,req_cat_id_6629,769,72,505,req_loc_7562,True,req_subj_9596,req_desc_7821,req_doc_link_7487,audio_req_desc_3539,2026-10-08 11:52:00,2026-04-17 23:10:00,2026-03-01 17:14:00,True
req_id_1925,req_user_id_1396,54,659,req_cat_id_4694,491,44,44,req_loc_4588,True,req_subj_3500,req_desc_3255,req_doc_link_9201,audio_req_desc_6234,2026-06-15 21:48:00,2026-11-22 06:25:00,2026-01-11 01:48:00,False
req_id_9064,req_user_id_1385,686,732,req_cat_id_7798,564,70,42,req_loc_4278,True,req_subj_4421,req_desc_4760,req_doc_link_9052,audio_req_desc_1117,2026-06-29 07:05:00,2026-10-25 20:32:00,2026-03-26 21:13:00,True
req_id_9785,req_user_id_1120,938,643,req_cat_id_5610,273,570,384,req_loc_9370,False,req_subj_3619,req_desc_4302,req_doc_link_5198,audio_req_desc_6480,2026-04-11 19:57:00,2026-05-14 21:07:00,2026-11-30 18:28:00,True
req_id_8299,req_user_id_9385,789,416,req_cat_id_4352,190,116,43,req_loc_7348,True,req_subj_4368,req_desc_4279,req_doc_link_5892,audio_req_desc_4511,2026-10-31 18:23:00,2026-08-26 10:41:00,2026-11-17 16:36:00,False
req_id_4552,req_user_id_9373,25,318,req_cat_id_1202,222,850,186,req_loc_6471,True,req_subj_9185,req_desc_7366,req_doc_link_6363,audio_req_desc_8501,2026-07-21 04:48:00,2026-03-27 00:30:00,2026-10-16 04:18:00,True
req_id_2272,req_user_id_2757,906,1,req_cat_id_1511,635,52,878,req_loc_1183,False,req_subj_1000,req_desc_5971,req_doc_link_8291,audio_req_desc_7249,2026-10-18 14:06:00,2026-01-28 20:13:00,2026-11-27 15:27:00,False
req_id_2246,req_user_id_5587,428,670,req_cat_id_1366,305,789,36,req_loc_2967,False,req_subj_3323,req_desc_5304,req_doc_link_8486,audio_req_desc_4353,2026-03-04 05:47:00,2026-12-16 09:56:00,2026-09-01 14:00:00,True
req_id_2410,req_user_id_4847,467,891,req_cat_id_5475,277,24,720,req_loc_8859,True,req_subj_3511,req_desc_4530,req_doc_link_2067,audio_req_desc_7513,2026-12-14 21:01:00,2026-01-21 00:27:00,2026-08-27 22:11:00,True
req_id_1721,req_user_id_2032,983,789,req_cat_id_5601,727,289,737,req_loc_8850,True,req_subj_5379,req_desc_1399,req_doc_link_5455,audio_req_desc_4081,2026-05-02 07:28:00,2026-01-02 05:02:00,2026-10-16 22:35:00,False
req_id_4793,req_user_id_1774,294,373,req_cat_id_2448,613,377,468,req_loc_8741,True,req_subj_7115,req_desc_7082,req_doc_link_9859,audio_req_desc_3387,2026-06-15 08:40:00,2026-06-27 22:11:00,2026-10-25 21:23:00,False
req_id_6692,req_user_id_5791,152,834,req_cat_id_9102,692,556,418,req_loc_6903,False,req_subj_2416,req_desc_5148,req_doc_link_3255,audio_req_desc_6452,2026-07-04 05:29:00,2026-08-20 02:55:00,2026-12-15 14:56:00,True
req_id_6627,req_user_id_9296,941,881,req_cat_id_3376,614,350,554,req_loc_3612,True,req_subj_4372,req_desc_7493,req_doc_link_2339,audio_req_desc_7864,2026-02-28 01:34:00,2026-01-23 01:06:00,2026-10-22 09:16:00,True
req_id_4715,req_user_id_6486,501,120,req_cat_id_6332,750,857,817,req_loc_7116,False,req_subj_9570,req_desc_7435,req_doc_link_4589,audio_req_desc_6752,2026-07-29 07:48:00,2026-02-24 16:40:00,2026-11-26 23:09:00,True
req_id_1009,req_user_id_9265,820,111,req_cat_id_9113,148,938,74,req_loc_6022,True,req_subj_7653,req_desc_5962,req_doc_link_4428,audio_req_desc_9879,2026-11-23 12:52:00,2026-04-08 09:01:00,2026-01-16 18:07:00,True
req_id_4042,req_user_id_2168,69,260,req_cat_id_8415,974,122,433,req_loc_6857,False,req_subj_1173,req_desc_5918,req_doc_link_6622,audio_req_desc_7352,2026-07-11 15:19:00,2026-08-09 04:37:00,2026-09-03 05:39:00,True
req_id_9050,req_user_id_1516,512,328,req_cat_id_6758,32,262,718,req_loc_8759,False,req_subj_9831,req_desc_2605,req_doc_link_7925,audio_req_desc_6751,2026-12-18 00:01:00,2026-07-14 10:31:00,2026-02-15 00:16:00,True
req_id_2359,req_user_id_5020,742,851,req_cat_id_2540,466,389,768,req_loc_6527,True,req_subj_8688,req_desc_1562,req_doc_link_6289,audio_req_desc_6075,2026-10-11 07:54:00,2026-08-20 15:39:00,2026-07-30 12:00:00,True
req_id_1462,req_user_id_9295,456,71,req_cat_id_9225,186,475,282,req_loc_7359,True,req_subj_5148,req_desc_2927,req_doc_link_9466,audio_req_desc_9046,2026-03-31 23:18:00,2026-03-25 10:18:00,2026-11-04 19:27:00,True
req_id_3536,req_user_id_2258,204,494,req_cat_id_8966,256,6,397,req_loc_3893,False,req_subj_1718,req_desc_5952,req_doc_link_3992,audio_req_desc_4660,2026-06-25 06:37:00,2026-09-10 16:45:00,2026-08-17 07:58:00,True
req_id_2663,req_user_id_3694,143,136,req_cat_id_1387,449,509,376,req_loc_8044,True,req_subj_9604,req_desc_7034,req_doc_link_9904,audio_req_desc_2742,2026-08-04 00:02:00,2026-05-23 22:35:00,2026-12-26 22:04:00,True
req_id_2429,req_user_id_5305,899,972,req_cat_id_6859,487,411,520,req_loc_4985,True,req_subj_2982,req_desc_1395,req_doc_link_3654,audio_req_desc_2415,2026-10-20 14:42:00,2026-04-11 23:42:00,2026-10-07 20:35:00,False
req_id_8829,req_user_id_2094,995,809,req_cat_id_4039,597,424,119,req_loc_1651,True,req_subj_4316,req_desc_3414,req_doc_link_5920,audio_req_desc_3182,2026-12-26 21:00:00,2026-07-10 10:32:00,2026-01-07 12:33:00,False
req_id_9692,req_user_id_1145,311,902,req_cat_id_3245,328,943,250,req_loc_8870,True,req_subj_4091,req_desc_8778,req_doc_link_8836,audio_req_desc_8843,2026-04-20 12:11:00,2026-07-19 02:40:00,2026-11-19 02:54:00,True
req_id_3393,req_user_id_3080,879,523,req_cat_id_3382,882,779,70,req_loc_8826,True,req_subj_3698,req_desc_5047,req_doc_link_7774,audio_req_desc_6926,2026-04-26 17:26:00,2026-01-31 22:02:00,2026-06-14 21:01:00,True
req_id_7122,req_user_id_7402,461,621,req_cat_id_4681,767,930,131,req_loc_8853,False,req_subj_3576,req_desc_4954,req_doc_link_9540,audio_req_desc_5712,2026-09-12 11:27:00,2026-11-04 09:26:00,2026-02-04 02:05:00,True
req_id_1654,req_user_id_7054,285,403,req_cat_id_5601,476,666,827,req_loc_6594,False,req_subj_9770,req_desc_6359,req_doc_link_6048,audio_req_desc_8699,2026-09-20 00:24:00,2026-12-20 03:44:00,2026-10-15 06:38:00,True
req_id_8689,req_user_id_6522,94,709,req_cat_id_9022,999,351,546,req_loc_9470,True,req_subj_5122,req_desc_5394,req_doc_link_5444,audio_req_desc_5734,2026-11-02 01:14:00,2026-06-10 19:58:00,2026-05-04 03:12:00,False
req_id_6019,req_user_id_4143,846,344,req_cat_id_9481,693,422,286,req_loc_5323,False,req_subj_4085,req_desc_3281,req_doc_link_5833,audio_req_desc_4112,2026-12-19 06:23:00,2027-01-01 02:35:00,2026-06-14 15:51:00,False
req_id_9521,req_user_id_3841,121,742,req_cat_id_5775,654,253,211,req_loc_6527,True,req_subj_9142,req_desc_7143,req_doc_link_5024,audio_req_desc_7416,2026-09-06 07:17:00,2026-10-18 23:34:00,2026-06-24 13:16:00,True
req_id_5137,req_user_id_3038,990,386,req_cat_id_7440,4,69,194,req_loc_5174,False,req_subj_8450,req_desc_5539,req_doc_link_9374,audio_req_desc_7889,2026-04-12 17:03:00,2026-08-08 05:31:00,2026-11-01 12:30:00,False
req_id_7338,req_user_id_6130,123,144,req_cat_id_3967,126,371,779,req_loc_1892,True,req_subj_2151,req_desc_5544,req_doc_link_2760,audio_req_desc_9986,2026-10-02 17:08:00,2026-02-20 08:43:00,2026-08-05 15:02:00,True
req_id_1161,req_user_id_2825,346,640,req_cat_id_5541,292,441,247,req_loc_4776,True,req_subj_5370,req_desc_6792,req_doc_link_4872,audio_req_desc_3485,2026-01-13 02:37:00,2026-06-12 16:10:00,2026-07-16 15:34:00,True
req_id_3627,req_user_id_2493,585,759,req_cat_id_5419,829,498,128,req_loc_2567,True,req_subj_7658,req_desc_4620,req_doc_link_4965,audio_req_desc_8528,2026-11-09 14:57:00,2026-03-30 16:17:00,2026-02-24 09:15:00,False
req_id_8130,req_user_id_7335,457,219,req_cat_id_4804,103,868,84,req_loc_7693,False,req_subj_8250,req_desc_3463,req_doc_link_7299,audio_req_desc_7228,2026-01-13 02:48:00,2026-05-20 15:56:00,2026-12-12 00:27:00,False
req_id_6276,req_user_id_1339,512,520,req_cat_id_7355,859,453,622,req_loc_4366,False,req_subj_3367,req_desc_2267,req_doc_link_7187,audio_req_desc_3758,2026-07-26 15:13:00,2026-06-10 20:25:00,2026-05-21 16:45:00,False
req_id_4782,req_user_id_7216,615,899,req_cat_id_8695,984,25,703,req_loc_4998,True,req_subj_8409,req_desc_1358,req_doc_link_7371,audio_req_desc_6655,2026-07-04 21:01:00,2026-09-09 22:46:00,2026-08-17 22:05:00,False
req_id_5176,req_user_id_6705,235,276,req_cat_id_7006,934,267,491,req_loc_3590,True,req_subj_4590,req_desc_9473,req_doc_link_9698,audio_req_desc_4206,2026-01-19 21:23:00,2026-01-25 16:05:00,2026-12-29 14:05:00,True
req_id_5102,req_user_id_2298,538,955,req_cat_id_5180,464,153,301,req_loc_3320,False,req_subj_5563,req_desc_4047,req_doc_link_4753,audio_req_desc_7708,2026-06-09 14:33:00,2026-02-04 16:55:00,2026-02-18 04:03:00,True
req_id_5722,req_user_id_9977,482,965,req_cat_id_7934,917,172,242,req_loc_1281,True,req_subj_2262,req_desc_2103,req_doc_link_2663,audio_req_desc_5408,2026-04-03 02:07:00,2026-08-26 02:48:00,2026-07-09 08:11:00,True
req_id_9743,req_user_id_4060,252,806,req_cat_id_1143,334,876,176,req_loc_5461,True,req_subj_9206,req_desc_9265,req_doc_link_1931,audio_req_desc_7452,2026-03-11 14:03:00,2026-08-29 13:54:00,2026-03-09 16:55:00,False
req_id_5575,req_user_id_8576,252,466,req_cat_id_3869,728,113,731,req_loc_5066,True,req_subj_1692,req_desc_2098,req_doc_link_7183,audio_req_desc_3226,2026-01-01 18:29:00,2026-09-29 00:43:00,2026-07-23 02:34:00,False
req_id_9602,req_user_id_8645,986,663,req_cat_id_9514,363,806,621,req_loc_7638,False,req_subj_9576,req_desc_7679,req_doc_link_3734,audio_req_desc_9243,2026-09-13 13:51:00,2026-01-19 15:04:00,2026-11-04 20:53:00,False
req_id_2892,req_user_id_7756,392,385,req_cat_id_5907,383,25,323,req_loc_8982,True,req_subj_1262,req_desc_4531,req_doc_link_8135,audio_req_desc_3411,2026-08-20 03:50:00,2026-03-14 05:50:00,2026-06-04 21:15:00,True
req_id_1268,req_user_id_4720,926,450,req_cat_id_5143,499,409,478,req_loc_8621,False,req_subj_4353,req_desc_8590,req_doc_link_3136,audio_req_desc_7812,2026-01-27 16:09:00,2026-11-24 12:18:00,2026-07-11 10:22:00,False
req_id_7333,req_user_id_8100,80,613,req_cat_id_5816,364,841,525,req_loc_8816,True,req_subj_8855,req_desc_2110,req_doc_link_6775,audio_req_desc_6430,2026-04-10 18:59:00,2026-09-17 14:00:00,2026-02-21 13:47:00,False
req_id_1981,req_user_id_1404,522,224,req_cat_id_9537,381,25,460,req_loc_7609,False,req_subj_8541,req_desc_6684,req_doc_link_6350,audio_req_desc_5668,2026-07-08 10:51:00,2026-09-23 03:07:00,2026-08-14 00:27:00,True
req_id_9978,req_user_id_9289,69,992,req_cat_id_3512,956,845,387,req_loc_6409,False,req_subj_5376,req_desc_3358,req_doc_link_3329,audio_req_desc_4216,2026-02-18 04:24:00,2026-05-22 21:14:00,2026-01-22 10:19:00,True
req_id_3178,req_user_id_4186,429,583,req_cat_id_4172,428,819,846,req_loc_3484,False,req_subj_9962,req_desc_5180,req_doc_link_4450,audio_req_desc_1009,2026-02-03 14:54:00,2026-01-20 17:46:00,2026-09-05 11:14:00,False
req_id_3713,req_user_id_9085,117,82,req_cat_id_8530,832,921,351,req_loc_7096,False,req_subj_5228,req_desc_9977,req_doc_link_6416,audio_req_desc_6349,2026-09-27 13:42:00,2026-12-17 07:37:00,2026-09-25 06:17:00,True
req_id_4706,req_user_id_1364,445,495,req_cat_id_5459,337,963,522,req_loc_5924,False,req_subj_7630,req_desc_1840,req_doc_link_5920,audio_req_desc_5221,2026-02-24 13:35:00,2026-04-25 16:56:00,2026-05-08 23:57:00,True
req_id_2615,req_user_id_9883,518,372,req_cat_id_7760,761,410,430,req_loc_6426,False,req_subj_2329,req_desc_4973,req_doc_link_3661,audio_req_desc_8883,2026-12-06 11:49:00,2026-06-10 10:27:00,2026-07-27 22:09:00,False
