state_id,country_id,state_name,state_code,last_update_date
state_id_4831,718,state_name_7455,state_code_3506,2026-02-14 03:32:00
state_id_7450,371,state_name_6925,state_code_1990,2026-06-06 03:18:00
state_id_5173,308,state_name_1592,state_code_8224,2026-08-09 21:12:00
state_id_6016,620,state_name_4089,state_code_4681,2026-10-18 22:22:00
state_id_1139,310,state_name_7175,state_code_3740,2026-08-21 15:08:00
state_id_3767,395,state_name_3206,state_code_8108,2026-03-02 11:18:00
state_id_3406,262,state_name_4546,state_code_7732,2026-12-07 13:58:00
state_id_6628,964,state_name_6252,state_code_5367,2026-12-11 13:06:00
state_id_9432,871,state_name_9408,state_code_1643,2026-10-02 08:31:00
state_id_2607,758,state_name_7677,state_code_3416,2026-11-24 16:46:00
state_id_6097,930,state_name_2386,state_code_7230,2026-05-15 16:12:00
state_id_6551,825,state_name_4922,state_code_3195,2026-05-25 23:11:00
state_id_6990,683,state_name_1943,state_code_6974,2026-09-30 16:14:00
state_id_5022,267,state_name_4314,state_code_1569,2026-12-20 16:04:00
state_id_2289,724,state_name_6993,state_code_9667,2026-09-13 21:01:00
state_id_7125,737,state_name_5375,state_code_7058,2026-08-29 08:24:00
state_id_5400,512,state_name_6420,state_code_8430,2026-07-26 03:45:00
state_id_5395,740,state_name_6496,state_code_4266,2026-07-04 16:27:00
state_id_7073,578,state_name_8736,state_code_5437,2026-07-21 21:59:00
state_id_9237,392,state_name_2041,state_code_8059,2026-04-17 17:08:00
state_id_2295,182,state_name_6623,state_code_5678,2026-07-09 09:34:00
state_id_1129,587,state_name_6440,state_code_6019,2026-09-18 11:52:00
state_id_6598,190,state_name_7538,state_code_3336,2026-06-15 20:36:00
state_id_7247,407,state_name_5949,state_code_8318,2026-04-04 12:54:00
state_id_4924,14,state_name_8425,state_code_5524,2026-03-11 16:23:00
state_id_2944,273,state_name_3975,state_code_7304,2026-03-04 18:03:00
state_id_5338,667,state_name_9920,state_code_4201,2026-05-07 14:26:00
state_id_2906,309,state_name_6189,state_code_6061,2026-04-21 07:51:00
state_id_1914,464,state_name_7760,state_code_4604,2026-12-03 23:14:00
state_id_2708,985,state_name_1296,state_code_1491,2026-10-02 05:43:00
state_id_2998,508,state_name_9697,state_code_6837,2026-03-27 13:59:00
state_id_2970,82,state_name_7035,state_code_9994,2026-08-17 11:58:00
state_id_5601,326,state_name_3562,state_code_4426,2026-07-06 06:17:00
state_id_3887,444,state_name_9281,state_code_8547,2026-05-13 17:54:00
state_id_9160,50,state_name_2842,state_code_9146,2026-04-11 05:10:00
state_id_1414,709,state_name_9667,state_code_7732,2026-06-25 08:52:00
state_id_3418,228,state_name_8286,state_code_8582,2026-08-20 13:36:00
state_id_8044,410,state_name_6307,state_code_7663,2026-04-07 15:29:00
state_id_1055,115,state_name_5565,state_code_2014,2026-11-27 10:59:00
state_id_6850,835,state_name_3498,state_code_8197,2026-10-02 11:01:00
state_id_7020,334,state_name_9505,state_code_1747,2026-01-19 09:58:00
state_id_3490,496,state_name_3919,state_code_3097,2026-02-03 18:11:00
state_id_6239,475,state_name_4192,state_code_2964,2026-08-06 09:38:00
state_id_5933,233,state_name_3022,state_code_4565,2026-07-24 01:51:00
state_id_2422,507,state_name_3694,state_code_1574,2026-04-12 12:12:00
state_id_7194,638,state_name_6666,state_code_6751,2026-12-30 13:33:00
state_id_7402,181,state_name_1438,state_code_4055,2026-10-23 08:40:00
state_id_8940,803,state_name_5032,state_code_6635,2026-03-08 08:23:00
state_id_6771,848,state_name_4493,state_code_4844,2026-03-17 14:09:00
state_id_8253,233,state_name_4114,state_code_9555,2026-11-06 04:11:00
state_id_1023,295,state_name_6957,state_code_8760,2026-12-21 07:53:00
state_id_4638,801,state_name_6800,state_code_4694,2026-03-08 16:27:00
state_id_7993,90,state_name_9311,state_code_6734,2026-01-19 00:25:00
state_id_2501,930,state_name_1802,state_code_8522,2026-01-25 01:11:00
state_id_7374,622,state_name_9156,state_code_2979,2026-09-16 14:53:00
state_id_4275,391,state_name_1632,state_code_2616,2026-01-09 00:07:00
state_id_3555,406,state_name_2634,state_code_6803,2026-11-28 02:14:00
state_id_3996,724,state_name_2468,state_code_9077,2026-12-09 05:27:00
state_id_5294,547,state_name_5231,state_code_7595,2026-09-02 15:20:00
state_id_8251,772,state_name_5303,state_code_3146,2026-03-16 15:13:00
state_id_3502,146,state_name_3644,state_code_9328,2026-01-10 05:06:00
state_id_5784,260,state_name_3522,state_code_6670,2026-10-15 06:54:00
state_id_3527,735,state_name_4016,state_code_3926,2026-07-01 21:03:00
state_id_7177,188,state_name_6530,state_code_4458,2026-07-11 05:03:00
state_id_7383,249,state_name_8844,state_code_5008,2026-02-05 05:07:00
state_id_9709,57,state_name_5449,state_code_7501,2026-12-18 00:17:00
state_id_2712,848,state_name_4871,state_code_1103,2026-09-07 06:20:00
state_id_4753,878,state_name_5995,state_code_2999,2026-12-02 02:20:00
state_id_3432,14,state_name_2175,state_code_4600,2026-07-17 14:25:00
state_id_1939,521,state_name_5699,state_code_7542,2026-04-29 03:53:00
state_id_8758,673,state_name_6986,state_code_7326,2026-02-02 19:46:00
state_id_5535,810,state_name_8801,state_code_1737,2026-07-05 19:16:00
