field_id,field_name_key,field_type,status,cat_id
field_id_7390,field_name_key_5189,field_type_7601,status_1528,cat_id_2287
field_id_8971,field_name_key_6657,field_type_2361,status_4400,cat_id_9676
field_id_7048,field_name_key_5981,field_type_5781,status_6166,cat_id_8397
field_id_8657,field_name_key_1484,field_type_3554,status_3731,cat_id_6761
field_id_8070,field_name_key_7805,field_type_1383,status_5651,cat_id_9040
field_id_4845,field_name_key_7148,field_type_9807,status_3157,cat_id_7200
field_id_3023,field_name_key_2588,field_type_7483,status_4576,cat_id_4462
field_id_2812,field_name_key_5740,field_type_3926,status_3606,cat_id_7571
field_id_7693,field_name_key_6767,field_type_4567,status_7851,cat_id_5569
field_id_6233,field_name_key_6950,field_type_2730,status_6206,cat_id_9229
field_id_9775,field_name_key_9724,field_type_7425,status_4688,cat_id_7618
field_id_9107,field_name_key_8600,field_type_5690,status_8363,cat_id_3571
field_id_3910,field_name_key_7554,field_type_5725,status_1054,cat_id_9727
field_id_6473,field_name_key_8602,field_type_3822,status_2610,cat_id_7280
field_id_7850,field_name_key_7852,field_type_7722,status_4094,cat_id_1475
field_id_4673,field_name_key_3270,field_type_9247,status_2319,cat_id_7697
field_id_1374,field_name_key_6325,field_type_5095,status_3727,cat_id_8731
field_id_2490,field_name_key_7066,field_type_1372,status_7378,cat_id_9377
field_id_4162,field_name_key_3644,field_type_8500,status_7046,cat_id_4920
field_id_3870,field_name_key_8736,field_type_4273,status_6287,cat_id_3173
field_id_5800,field_name_key_2061,field_type_1506,status_4391,cat_id_8555
field_id_8523,field_name_key_5014,field_type_8268,status_4963,cat_id_3897
field_id_8559,field_name_key_9195,field_type_2821,status_6427,cat_id_3609
