news_id,headline,snippet_text,image_path,profile_links,event_date,created_at,last_updated_at
781,headline_7435,snippet_text_9816,image_path_2329,{},2026-01-01,2026-11-30 05:04:00,2026-10-03 09:57:00
853,headline_8293,snippet_text_3022,image_path_6783,{},2026-01-01,2026-07-13 04:22:00,2026-07-18 14:53:00
787,headline_1138,snippet_text_3044,image_path_8580,{},2026-01-01,2026-07-09 15:28:00,2026-01-05 16:47:00
21,headline_5606,snippet_text_6862,image_path_4137,{},2026-01-01,2026-02-17 04:40:00,2026-06-06 07:14:00
240,headline_9090,snippet_text_6947,image_path_1602,{},2026-01-01,2026-05-25 00:57:00,2026-12-28 07:38:00
215,headline_1116,snippet_text_4212,image_path_7489,{},2026-01-01,2026-02-26 17:36:00,2026-09-15 00:10:00
566,headline_4174,snippet_text_3875,image_path_2070,{},2026-01-01,2026-10-29 13:47:00,2026-02-03 13:16:00
956,headline_4734,snippet_text_9570,image_path_5494,{},2026-01-01,2026-04-10 06:01:00,2026-12-22 06:34:00
630,headline_5143,snippet_text_8437,image_path_1032,{},2026-01-01,2026-08-08 05:43:00,2026-11-29 10:54:00
962,headline_6292,snippet_text_8086,image_path_7666,{},2026-01-01,2026-05-21 12:43:00,2026-09-23 23:31:00
371,headline_9474,snippet_text_1712,image_path_4678,{},2026-01-01,2026-01-25 17:58:00,2026-08-05 02:28:00
324,headline_1084,snippet_text_7420,image_path_4188,{},2026-01-01,2026-06-21 11:56:00,2026-10-20 09:47:00
232,headline_7943,snippet_text_2219,image_path_5095,{},2026-01-01,2026-04-11 14:21:00,2026-06-09 11:40:00
641,headline_2584,snippet_text_1456,image_path_8863,{},2026-01-01,2026-08-10 09:37:00,2026-11-17 19:53:00
257,headline_5049,snippet_text_2766,image_path_8759,{},2026-01-01,2026-05-03 19:53:00,2026-01-28 19:33:00
814,headline_4878,snippet_text_2194,image_path_8184,{},2026-01-01,2026-02-19 05:28:00,2026-10-24 12:05:00
998,headline_1994,snippet_text_1546,image_path_7183,{},2026-01-01,2026-06-11 07:04:00,2026-03-07 10:58:00
822,headline_8240,snippet_text_1897,image_path_5939,{},2026-01-01,2026-11-10 05:27:00,2026-02-03 12:43:00
58,headline_1855,snippet_text_5831,image_path_7249,{},2026-01-01,2026-07-25 12:39:00,2026-07-30 16:55:00
614,headline_1173,snippet_text_8428,image_path_7290,{},2026-01-01,2026-08-26 22:56:00,2026-11-15 04:06:00
348,headline_1425,snippet_text_8439,image_path_9474,{},2026-01-01,2026-06-19 03:12:00,2026-02-25 12:00:00
610,headline_2106,snippet_text_4172,image_path_3064,{},2026-01-01,2026-11-24 01:16:00,2026-07-01 22:30:00
743,headline_8284,snippet_text_4046,image_path_4983,{},2026-01-01,2026-03-12 10:03:00,2026-03-07 18:37:00
447,headline_9407,snippet_text_6861,image_path_6098,{},2026-01-01,2026-10-27 02:49:00,2026-03-16 13:30:00
317,headline_6618,snippet_text_5768,image_path_7042,{},2026-01-01,2026-01-06 01:37:00,2026-12-04 06:09:00
59,headline_4889,snippet_text_9308,image_path_1894,{},2026-01-01,2026-08-05 20:12:00,2026-04-14 05:58:00
207,headline_2120,snippet_text_6595,image_path_4102,{},2026-01-01,2026-12-09 00:44:00,2026-12-21 23:38:00
710,headline_6425,snippet_text_6499,image_path_5909,{},2026-01-01,2026-08-03 19:10:00,2026-02-23 23:56:00
809,headline_1691,snippet_text_9125,image_path_4594,{},2026-01-01,2026-01-03 05:14:00,2026-12-21 16:29:00
639,headline_4492,snippet_text_4916,image_path_8876,{},2026-01-01,2026-06-20 08:24:00,2026-04-16 21:11:00
846,headline_1110,snippet_text_6944,image_path_1162,{},2026-01-01,2026-02-07 20:01:00,2026-10-12 12:09:00
298,headline_8215,snippet_text_4185,image_path_6896,{},2026-01-01,2026-01-23 09:12:00,2026-04-12 18:11:00
225,headline_5292,snippet_text_3855,image_path_6567,{},2026-01-01,2026-10-11 16:11:00,2026-04-11 09:11:00
864,headline_5289,snippet_text_2657,image_path_1343,{},2026-01-01,2026-12-13 13:24:00,2026-12-02 12:21:00
959,headline_4444,snippet_text_5998,image_path_8474,{},2026-01-01,2026-05-03 20:51:00,2026-07-11 06:10:00
964,headline_9633,snippet_text_8106,image_path_2071,{},2026-01-01,2026-03-02 13:56:00,2026-03-08 15:12:00
546,headline_7196,snippet_text_7131,image_path_6209,{},2026-01-01,2026-11-03 22:40:00,2026-05-06 10:48:00
631,headline_4098,snippet_text_9773,image_path_5819,{},2026-01-01,2026-03-18 19:15:00,2026-01-29 05:50:00
287,headline_3071,snippet_text_9327,image_path_9011,{},2026-01-01,2026-04-19 08:05:00,2026-08-30 06:39:00
67,headline_3743,snippet_text_9333,image_path_7358,{},2026-01-01,2026-11-28 01:23:00,2026-09-14 01:29:00
184,headline_6272,snippet_text_7125,image_path_9609,{},2026-01-01,2026-12-23 00:45:00,2026-09-12 00:17:00
596,headline_7569,snippet_text_1599,image_path_4394,{},2026-01-01,2026-04-23 15:28:00,2026-05-01 21:13:00
314,headline_7963,snippet_text_7178,image_path_3575,{},2026-01-01,2026-07-11 17:35:00,2026-02-13 13:48:00
87,headline_5834,snippet_text_8282,image_path_9500,{},2026-01-01,2026-06-30 16:37:00,2026-01-22 23:32:00
637,headline_6511,snippet_text_7981,image_path_8391,{},2026-01-01,2026-08-28 22:26:00,2026-07-09 00:20:00
280,headline_7264,snippet_text_1404,image_path_3942,{},2026-01-01,2026-08-15 16:16:00,2026-11-27 11:22:00
924,headline_2350,snippet_text_5825,image_path_9220,{},2026-01-01,2026-09-21 02:41:00,2026-02-10 17:59:00
234,headline_2612,snippet_text_2942,image_path_2168,{},2026-01-01,2026-07-04 10:34:00,2026-04-13 19:12:00
692,headline_6394,snippet_text_5096,image_path_5959,{},2026-01-01,2026-12-16 17:12:00,2026-12-29 04:08:00
876,headline_9898,snippet_text_5278,image_path_1139,{},2026-01-01,2026-06-03 18:52:00,2026-06-27 21:25:00
842,headline_1194,snippet_text_8733,image_path_9399,{},2026-01-01,2026-03-18 21:14:00,2026-04-28 08:47:00
215,headline_8773,snippet_text_4829,image_path_9451,{},2026-01-01,2026-10-29 02:48:00,2026-08-29 08:52:00
473,headline_6581,snippet_text_2406,image_path_6129,{},2026-01-01,2026-04-07 22:49:00,2026-12-24 22:13:00
450,headline_8372,snippet_text_1493,image_path_7139,{},2026-01-01,2026-03-14 03:55:00,2026-03-07 18:47:00
10,headline_9188,snippet_text_6810,image_path_6567,{},2026-01-01,2026-04-26 22:27:00,2026-12-18 21:48:00
798,headline_9808,snippet_text_5909,image_path_6342,{},2026-01-01,2026-10-28 09:36:00,2026-01-17 13:09:00
976,headline_6410,snippet_text_7404,image_path_7247,{},2026-01-01,2026-04-15 21:04:00,2026-10-01 21:12:00
487,headline_2779,snippet_text_6387,image_path_8397,{},2026-01-01,2026-11-24 18:05:00,2026-03-29 12:43:00
567,headline_3910,snippet_text_1525,image_path_9005,{},2026-01-01,2026-01-14 14:12:00,2026-02-05 21:18:00
211,headline_4818,snippet_text_5769,image_path_9591,{},2026-01-01,2026-02-05 23:03:00,2026-07-09 01:00:00
176,headline_6353,snippet_text_7731,image_path_7407,{},2026-01-01,2026-03-22 12:08:00,2026-10-02 22:30:00
761,headline_2126,snippet_text_7373,image_path_4382,{},2026-01-01,2026-03-08 15:19:00,2026-08-11 07:42:00
487,headline_3601,snippet_text_6084,image_path_4325,{},2026-01-01,2026-09-16 07:43:00,2026-08-23 17:12:00
8,headline_3337,snippet_text_8302,image_path_2048,{},2026-01-01,2026-07-25 04:51:00,2026-05-08 01:21:00
933,headline_9043,snippet_text_8539,image_path_8580,{},2026-01-01,2026-10-22 10:47:00,2026-02-16 18:41:00
903,headline_8476,snippet_text_6681,image_path_5873,{},2026-01-01,2026-07-21 04:52:00,2026-03-31 22:15:00
184,headline_8079,snippet_text_8501,image_path_7302,{},2026-01-01,2026-12-04 14:44:00,2026-10-19 12:25:00
716,headline_1715,snippet_text_4927,image_path_3587,{},2026-01-01,2026-05-22 05:34:00,2026-05-31 06:58:00
69,headline_4559,snippet_text_9085,image_path_7738,{},2026-01-01,2026-10-11 12:23:00,2026-02-09 12:32:00
785,headline_6341,snippet_text_7719,image_path_8388,{},2026-01-01,2026-03-26 17:13:00,2026-09-17 10:29:00
28,headline_2199,snippet_text_8567,image_path_7244,{},2026-01-01,2026-06-26 08:25:00,2026-04-10 21:02:00
11,headline_5105,snippet_text_2878,image_path_3236,{},2026-01-01,2026-06-18 06:47:00,2026-08-27 00:29:00
70,headline_2352,snippet_text_9985,image_path_4969,{},2026-01-01,2027-01-01 23:08:00,2026-08-30 17:53:00
166,headline_3794,snippet_text_1295,image_path_2646,{},2026-01-01,2026-04-01 18:07:00,2026-10-02 08:25:00
173,headline_2271,snippet_text_1183,image_path_5476,{},2026-01-01,2026-03-20 23:22:00,2026-04-02 15:45:00
36,headline_9721,snippet_text_4541,image_path_8242,{},2026-01-01,2026-12-23 10:53:00,2026-11-23 01:41:00
679,headline_2684,snippet_text_7399,image_path_6051,{},2026-01-01,2026-08-16 10:38:00,2026-01-03 10:49:00
387,headline_4305,snippet_text_5091,image_path_7138,{},2026-01-01,2026-05-03 15:05:00,2026-01-09 22:01:00
15,headline_6523,snippet_text_4148,image_path_2035,{},2026-01-01,2026-04-23 12:51:00,2026-12-07 14:46:00
172,headline_1721,snippet_text_7810,image_path_9396,{},2026-01-01,2026-02-25 19:20:00,2026-10-16 05:12:00
