req_type_id,req_type,req_type_desc,last_updated_date
37,req_type_2701,req_type_desc_9432,2026-02-06 07:55:00
406,req_type_8217,req_type_desc_8768,2026-09-16 18:32:00
927,req_type_2097,req_type_desc_7962,2026-06-26 14:17:00
261,req_type_5167,req_type_desc_6889,2026-05-14 17:27:00
55,req_type_9711,req_type_desc_4444,2026-10-01 20:44:00
68,req_type_8784,req_type_desc_4562,2026-08-20 07:50:00
566,req_type_2755,req_type_desc_1255,2026-11-26 06:41:00
774,req_type_6251,req_type_desc_4947,2026-11-27 04:07:00
151,req_type_9792,req_type_desc_8479,2026-09-16 01:42:00
262,req_type_9828,req_type_desc_7324,2026-11-16 03:37:00
436,req_type_9645,req_type_desc_9429,2026-03-22 07:38:00
63,req_type_6014,req_type_desc_6152,2026-09-05 03:44:00
137,req_type_8853,req_type_desc_2714,2026-05-21 23:43:00
141,req_type_5158,req_type_desc_7174,2026-04-30 10:51:00
92,req_type_9854,req_type_desc_7247,2026-12-30 17:11:00
275,req_type_3165,req_type_desc_4337,2026-10-14 05:14:00
607,req_type_8365,req_type_desc_3666,2026-09-24 16:15:00
582,req_type_2690,req_type_desc_3473,2026-02-28 05:42:00
563,req_type_9191,req_type_desc_1492,2026-07-20 14:56:00
581,req_type_4442,req_type_desc_3824,2026-09-23 01:59:00
51,req_type_4474,req_type_desc_3748,2026-03-16 12:02:00
836,req_type_2916,req_type_desc_1244,2026-04-05 16:11:00
911,req_type_1034,req_type_desc_1266,2026-02-03 07:33:00
396,req_type_8558,req_type_desc_8110,2026-07-14 12:02:00
932,req_type_1488,req_type_desc_9321,2026-11-21 04:42:00
889,req_type_8878,req_type_desc_7328,2026-03-04 09:35:00
86,req_type_5841,req_type_desc_4102,2026-07-10 21:50:00
96,req_type_5731,req_type_desc_2011,2026-05-02 02:18:00
951,req_type_6231,req_type_desc_4997,2026-11-25 11:37:00
523,req_type_1776,req_type_desc_8906,2026-05-22 22:50:00
770,req_type_3265,req_type_desc_4194,2026-06-11 18:26:00
888,req_type_6183,req_type_desc_2600,2026-01-18 09:12:00
751,req_type_1276,req_type_desc_8488,2026-07-26 14:00:00
379,req_type_5570,req_type_desc_6397,2026-10-29 21:28:00
855,req_type_2221,req_type_desc_6429,2026-01-12 07:02:00
447,req_type_8091,req_type_desc_7388,2026-08-05 17:05:00
76,req_type_1213,req_type_desc_7438,2026-07-09 18:55:00
89,req_type_2479,req_type_desc_4683,2026-05-25 09:51:00
458,req_type_9874,req_type_desc_6307,2026-02-21 21:39:00
838,req_type_5405,req_type_desc_8691,2026-01-23 01:39:00
16,req_type_7017,req_type_desc_4189,2026-08-09 22:35:00
208,req_type_5820,req_type_desc_3307,2026-07-14 02:46:00
582,req_type_7639,req_type_desc_3610,2026-07-19 04:29:00
804,req_type_1252,req_type_desc_9650,2026-05-01 02:27:00
572,req_type_9520,req_type_desc_2938,2026-08-31 01:43:00
677,req_type_8951,req_type_desc_2190,2026-07-06 09:23:00
823,req_type_8024,req_type_desc_3959,2026-07-05 23:54:00
80,req_type_8446,req_type_desc_7177,2026-01-13 07:38:00
