comment_id,req_id,commenter_id,comment_desc,created_at,last_updated_at,isdeleted
702,req_id_5916,commenter_id_4445,comment_desc_3532,2026-06-15 14:12:00,2026-07-22 14:54:00,True
625,req_id_3574,commenter_id_6335,comment_desc_9461,2026-09-01 05:38:00,2026-08-03 08:17:00,True
956,req_id_5306,commenter_id_8732,comment_desc_5974,2026-07-09 13:19:00,2026-06-21 08:22:00,False
461,req_id_6046,commenter_id_7968,comment_desc_7447,2026-08-02 09:48:00,2026-07-26 10:26:00,False
662,req_id_3292,commenter_id_8485,comment_desc_5492,2026-01-11 07:12:00,2026-04-18 06:45:00,False
302,req_id_7119,commenter_id_1387,comment_desc_6273,2026-08-07 21:20:00,2026-10-14 02:47:00,True
817,req_id_4522,commenter_id_9240,comment_desc_8210,2026-05-21 12:04:00,2026-05-05 14:20:00,False
965,req_id_8698,commenter_id_1753,comment_desc_7390,2026-12-20 07:31:00,2026-05-08 17:38:00,False
61,req_id_2661,commenter_id_1919,comment_desc_6614,2026-05-23 02:23:00,2026-08-13 18:07:00,False
138,req_id_2212,commenter_id_6317,comment_desc_7779,2026-03-19 13:37:00,2026-06-04 03:12:00,True
449,req_id_5017,commenter_id_6371,comment_desc_9955,2026-12-05 17:35:00,2026-09-29 18:44:00,True
144,req_id_2114,commenter_id_6143,comment_desc_6918,2026-08-18 08:56:00,2026-04-20 14:20:00,False
234,req_id_8549,commenter_id_6934,comment_desc_6456,2026-04-13 06:45:00,2026-05-13 17:38:00,True
144,req_id_2952,commenter_id_7730,comment_desc_8001,2026-07-23 00:51:00,2026-01-26 01:03:00,False
17,req_id_8163,commenter_id_1525,comment_desc_9261,2026-06-18 02:31:00,2026-05-26 03:21:00,True
753,req_id_2237,commenter_id_2509,comment_desc_2840,2026-09-30 14:51:00,2026-09-20 11:36:00,False
625,req_id_4127,commenter_id_2197,comment_desc_8060,2026-05-22 23:28:00,2026-03-20 05:21:00,True
187,req_id_6567,commenter_id_8439,comment_desc_9646,2026-12-22 08:52:00,2026-08-10 09:25:00,False
7,req_id_7388,commenter_id_1309,comment_desc_1139,2026-04-26 19:27:00,2026-03-19 17:54:00,True
599,req_id_6351,commenter_id_9722,comment_desc_8499,2026-12-02 06:12:00,2026-10-22 20:57:00,True
194,req_id_3429,commenter_id_4377,comment_desc_6054,2026-04-03 12:01:00,2026-10-02 04:54:00,True
799,req_id_3086,commenter_id_9848,comment_desc_6710,2026-02-05 19:55:00,2026-06-11 16:42:00,True
207,req_id_5963,commenter_id_3675,comment_desc_7951,2026-05-19 16:59:00,2026-04-22 20:01:00,True
899,req_id_8203,commenter_id_3017,comment_desc_7145,2026-01-14 23:55:00,2026-04-17 21:03:00,False
450,req_id_7540,commenter_id_4254,comment_desc_4369,2026-07-15 03:52:00,2026-03-05 11:11:00,True
167,req_id_4434,commenter_id_2971,comment_desc_9013,2026-11-06 20:47:00,2026-06-12 22:12:00,True
93,req_id_9305,commenter_id_6895,comment_desc_8831,2026-05-12 01:07:00,2026-08-22 09:00:00,False
823,req_id_7881,commenter_id_7558,comment_desc_2639,2026-07-01 20:19:00,2026-02-03 22:54:00,False
235,req_id_2383,commenter_id_7384,comment_desc_8722,2026-01-09 17:46:00,2026-11-28 19:02:00,True
868,req_id_5079,commenter_id_3905,comment_desc_1151,2026-03-08 01:09:00,2026-03-14 07:30:00,True
63,req_id_4437,commenter_id_5801,comment_desc_7089,2026-11-13 22:52:00,2026-03-22 22:11:00,True
959,req_id_9496,commenter_id_3480,comment_desc_3975,2026-07-06 12:50:00,2026-03-25 09:31:00,True
314,req_id_7613,commenter_id_7114,comment_desc_5344,2026-11-15 19:01:00,2026-01-14 19:01:00,False
36,req_id_3364,commenter_id_7679,comment_desc_1761,2026-10-04 21:48:00,2026-11-04 08:33:00,True
162,req_id_2640,commenter_id_1244,comment_desc_6712,2026-04-25 11:26:00,2026-02-03 12:30:00,False
426,req_id_9793,commenter_id_8215,comment_desc_3202,2026-11-06 05:00:00,2026-06-10 00:30:00,False
132,req_id_6290,commenter_id_9847,comment_desc_6989,2026-11-12 06:45:00,2026-02-20 00:31:00,True
129,req_id_4593,commenter_id_9433,comment_desc_3126,2026-03-15 16:42:00,2026-02-13 08:06:00,False
290,req_id_2724,commenter_id_5092,comment_desc_4706,2026-05-09 14:46:00,2026-12-04 18:21:00,False
685,req_id_9518,commenter_id_9468,comment_desc_5370,2026-03-09 19:27:00,2026-07-12 06:09:00,True
766,req_id_7308,commenter_id_1786,comment_desc_4242,2026-04-04 09:09:00,2026-11-21 10:53:00,True
166,req_id_7500,commenter_id_6284,comment_desc_1191,2026-10-21 00:30:00,2026-06-26 15:40:00,False
463,req_id_4519,commenter_id_8425,comment_desc_5305,2026-10-07 23:07:00,2026-05-25 05:49:00,False
346,req_id_4052,commenter_id_5182,comment_desc_6586,2026-09-08 02:29:00,2026-12-06 12:42:00,False
782,req_id_9504,commenter_id_5306,comment_desc_2034,2026-07-07 22:41:00,2026-01-15 02:08:00,True
233,req_id_8494,commenter_id_2820,comment_desc_2970,2026-10-10 07:18:00,2026-03-06 20:19:00,False
447,req_id_2359,commenter_id_9269,comment_desc_3991,2026-07-24 01:12:00,2026-03-15 06:14:00,True
204,req_id_6798,commenter_id_9611,comment_desc_3486,2026-10-17 01:33:00,2026-01-26 02:23:00,True
711,req_id_9697,commenter_id_3732,comment_desc_7135,2026-03-23 12:43:00,2026-03-27 05:40:00,True
864,req_id_3491,commenter_id_9860,comment_desc_7947,2026-04-14 17:03:00,2026-07-25 18:24:00,False
916,req_id_8807,commenter_id_8667,comment_desc_6274,2026-03-12 08:19:00,2026-01-01 11:16:00,False
214,req_id_2094,commenter_id_1970,comment_desc_7723,2026-03-13 13:30:00,2026-03-24 16:25:00,True
662,req_id_7865,commenter_id_7406,comment_desc_4168,2026-05-08 20:04:00,2026-04-26 17:08:00,False
127,req_id_3487,commenter_id_4372,comment_desc_8264,2026-03-15 06:17:00,2026-06-17 09:40:00,True
534,req_id_6098,commenter_id_9589,comment_desc_2681,2026-11-19 04:30:00,2026-04-30 06:28:00,False
842,req_id_3045,commenter_id_9867,comment_desc_8444,2026-03-20 11:56:00,2026-06-24 17:02:00,False
859,req_id_5185,commenter_id_2848,comment_desc_8643,2026-08-08 03:10:00,2026-12-31 07:55:00,False
777,req_id_5769,commenter_id_4680,comment_desc_9566,2026-02-22 11:46:00,2026-11-06 04:55:00,False
248,req_id_9102,commenter_id_8085,comment_desc_7908,2026-01-31 05:06:00,2026-05-25 08:46:00,False
927,req_id_5123,commenter_id_9320,comment_desc_6387,2026-08-04 06:53:00,2026-05-09 20:05:00,True
104,req_id_8955,commenter_id_4977,comment_desc_9109,2026-04-25 03:27:00,2026-12-07 17:06:00,False
575,req_id_7157,commenter_id_9502,comment_desc_7268,2026-01-23 04:06:00,2026-10-31 05:06:00,True
121,req_id_4909,commenter_id_6909,comment_desc_7911,2026-07-22 07:47:00,2026-01-21 20:41:00,False
873,req_id_8548,commenter_id_9564,comment_desc_1610,2026-07-25 05:47:00,2026-08-11 06:58:00,True
222,req_id_3961,commenter_id_1395,comment_desc_6389,2026-02-20 18:58:00,2026-07-31 09:46:00,False
870,req_id_5153,commenter_id_6875,comment_desc_6636,2026-06-30 16:17:00,2026-08-17 10:20:00,False
716,req_id_5311,commenter_id_3631,comment_desc_4430,2026-10-14 02:41:00,2026-06-15 08:25:00,False
800,req_id_3818,commenter_id_9189,comment_desc_2456,2026-06-20 20:39:00,2026-10-04 08:51:00,True
325,req_id_6010,commenter_id_2659,comment_desc_2481,2026-11-24 21:20:00,2026-11-16 00:40:00,True
775,req_id_7270,commenter_id_4312,comment_desc_5336,2026-12-30 00:22:00,2026-06-22 23:57:00,False
773,req_id_3608,commenter_id_3761,comment_desc_6288,2026-01-09 12:12:00,2026-10-25 18:58:00,False
775,req_id_9818,commenter_id_3914,comment_desc_7520,2026-11-14 07:04:00,2026-04-12 11:05:00,False
873,req_id_5315,commenter_id_3388,comment_desc_6573,2026-09-30 20:25:00,2026-03-10 21:06:00,False
629,req_id_2346,commenter_id_6305,comment_desc_4683,2026-08-15 10:15:00,2026-10-08 13:42:00,False
