"info_id","req_id","field_id","item_id","field_value"
505,"REQ-00-000-000-0204","4.3.3.A","4.3.3.A.1",NULL
506,"REQ-00-000-000-0204","4.3.3.A","4.3.3.A.2",NULL
507,"REQ-00-000-000-0204","4.3.3.B","4.3.3.B.1",NULL
508,"REQ-00-000-000-0204","4.3.3.C","4.3.3.C.1","2026-05-10T10:00:00Z"
509,"REQ-00-000-000-0204","4.3.3.C","4.3.3.C.2","2026-05-10T12:00:00Z"
517,"REQ-00-000-000-0357","1.3.1.A","1.3.1.A.4",NULL
518,"REQ-00-000-000-0357","1.3.1.B","1.3.1.B.2",NULL
519,"REQ-00-000-000-0357","1.3.1.C","1.3.1.C.1",NULL
520,"REQ-00-000-000-0357","1.3.1.D",NULL,"English"
184,"REQ-00-000-000-0224","3.6.A","3.6.A.1",NULL
185,"REQ-00-000-000-0224","3.6.B","3.6.B.1",NULL
186,"REQ-00-000-000-0224","3.6.C","3.6.C.1",NULL
187,"REQ-00-000-000-0224","3.6.D",NULL,"1232.97"
188,"REQ-00-000-000-0224","3.6.E","3.6.E.1",NULL
189,"REQ-00-000-000-0224","3.6.F","3.6.F.2",NULL
190,"REQ-00-000-000-0224","3.6.G",NULL,"4"
191,"REQ-00-000-000-0224","3.6.H","3.6.H.1",NULL
192,"REQ-00-000-000-0224","3.6.I","3.6.I.3",NULL
193,"REQ-00-000-000-0224","3.6.J","3.6.J.1","23"
194,"REQ-00-000-000-0224","3.6.J","3.6.J.2","35"
195,"REQ-00-000-000-0224","3.6.K","3.6.K.1",NULL
196,"REQ-00-000-000-0224","3.6.K","3.6.K.2",NULL
198,"REQ-00-000-000-0227","2.4.A","2.4.A.2",NULL
199,"REQ-00-000-000-0227","2.4.B","2.4.B.1",NULL
533,"REQ-00-000-000-0374","3.1.A","3.1.A.1",NULL
534,"REQ-00-000-000-0374","3.1.B","3.1.B.1",NULL
535,"REQ-00-000-000-0374","3.1.C","3.1.C.2",NULL
203,"REQ-00-000-000-0229","2.1.A","2.1.A.2",NULL
204,"REQ-00-000-000-0229","2.1.B","2.1.B.2",NULL
205,"REQ-00-000-000-0229","2.1.C","2.1.C.3",NULL
206,"REQ-00-000-000-0229","2.1.D","2.1.D.2",NULL
207,"REQ-00-000-000-0229","2.1.E",NULL,"100"
208,"REQ-00-000-000-0230","4.3.3.A","4.3.3.A.1",NULL
209,"REQ-00-000-000-0230","4.3.3.B","4.3.3.B.1",NULL
98,"REQ-00-000-000-0194","2.1.A","2.1.A.2",NULL
99,"REQ-00-000-000-0194","2.1.B","2.1.B.1",NULL
100,"REQ-00-000-000-0194","2.1.C","2.1.C.3",NULL
101,"REQ-00-000-000-0194","2.1.C","2.1.C.4",NULL
102,"REQ-00-000-000-0194","2.1.D","2.1.D.2",NULL
103,"REQ-00-000-000-0194","2.1.E",NULL,"5"
104,"REQ-00-000-000-0196","2.1.A","2.1.A.1",NULL
105,"REQ-00-000-000-0196","2.1.A","2.1.A.2",NULL
106,"REQ-00-000-000-0196","2.1.B","2.1.B.1",NULL
107,"REQ-00-000-000-0196","2.1.C","2.1.C.1",NULL
108,"REQ-00-000-000-0196","2.1.E",NULL,"4"
109,"REQ-00-000-000-0197","4.3.3.A","4.3.3.A.1",NULL
110,"REQ-00-000-000-0197","4.3.3.A","4.3.3.A.2",NULL
210,"REQ-00-000-000-0230","4.3.3.C","4.3.3.C.1","100"
211,"REQ-00-000-000-0230","4.3.3.C","4.3.3.C.2","199.99"
212,"REQ-00-000-000-0231","5.4.A","5.4.A.1",NULL
213,"REQ-00-000-000-0231","5.4.B",NULL,"01:12"
540,"REQ-00-000-000-0376","1.3.3.A","1.3.3.A.1",NULL
541,"REQ-00-000-000-0376","1.3.3.B","1.3.3.B.1",NULL
542,"REQ-00-000-000-0376","1.3.3.C","1.3.3.C.1",NULL
549,"REQ-00-000-000-0378","1.1.A","1.1.A.3",NULL
551,"REQ-00-000-000-0380","5.5.A","5.5.A.1",NULL
552,"REQ-00-000-000-0380","5.5.A","5.5.A.2",NULL
553,"REQ-00-000-000-0380","5.5.A","5.5.A.7",NULL
554,"REQ-00-000-000-0380","5.5.A","5.5.A.8",NULL
555,"REQ-00-000-000-0380","5.5.A","5.5.A.5",NULL
111,"REQ-00-000-000-0197","4.3.3.B","4.3.3.B.1",NULL
112,"REQ-00-000-000-0197","4.3.3.C","4.3.3.C.1","100"
113,"REQ-00-000-000-0197","4.3.3.C","4.3.3.C.2","200"
114,"REQ-00-000-000-0198","1.2.A",NULL,"Need milk, bread, eggs"
115,"REQ-00-000-000-0199","1.1.C",NULL,"4"
116,"REQ-00-000-000-0200","1.1.A","1.1.A.1",NULL
117,"REQ-00-000-000-0201","1.1.B","1.1.B.1",NULL
118,"REQ-00-000-000-0201","1.1.B","1.1.B.2",NULL
119,"REQ-00-000-000-0201","1.1.B","1.1.B.3",NULL
120,"REQ-00-000-000-0203","6.1.B","6.1.B.2","2026-04-15T14:00:00Z"
121,"REQ-00-000-000-0203","6.1.B","6.1.B.1","2026-04-10T10:00:00Z"
481,"REQ-00-000-000-0348","2.1.A","2.1.A.2",NULL
482,"REQ-00-000-000-0348","2.1.B","2.1.B.4",NULL
124,"REQ-00-000-000-0205","3.6.D",NULL,"1500"
125,"REQ-00-000-000-0207","4.3.3.A","4.3.3.A.1",NULL
126,"REQ-00-000-000-0207","4.3.3.A","4.3.3.A.2",NULL
127,"REQ-00-000-000-0207","4.3.3.B","4.3.3.B.1",NULL
128,"REQ-00-000-000-0207","4.3.3.C","4.3.3.C.1","100"
129,"REQ-00-000-000-0207","4.3.3.C","4.3.3.C.2","200"
197,"REQ-00-000-000-0226","1.1.A","1.1.A.1",NULL
214,"REQ-00-000-000-0231","5.4.C","5.4.C.2",NULL
132,"REQ-00-000-000-0214","4.3.3.A","4.3.3.A.1",NULL
133,"REQ-00-000-000-0214","4.3.3.A","4.3.3.A.2",NULL
134,"REQ-00-000-000-0214","4.3.3.B","4.3.3.B.1",NULL
135,"REQ-00-000-000-0214","4.3.3.C","4.3.3.C.1","100"
136,"REQ-00-000-000-0214","4.3.3.C","4.3.3.C.2","200"
137,"REQ-00-000-000-0215","1.1.A","1.1.A.1",NULL
138,"REQ-00-000-000-0215","1.1.B","1.1.B.1",NULL
139,"REQ-00-000-000-0215","1.1.B","1.1.B.3",NULL
140,"REQ-00-000-000-0215","1.1.B","1.1.B.2",NULL
141,"REQ-00-000-000-0215","1.1.B","1.1.B.4",NULL
142,"REQ-00-000-000-0215","1.1.C",NULL,"3"
143,"REQ-00-000-000-0216","4.3.3.A","4.3.3.A.1",NULL
144,"REQ-00-000-000-0216","4.3.3.A","4.3.3.A.4",NULL
145,"REQ-00-000-000-0216","4.3.3.A","4.3.3.A.5",NULL
146,"REQ-00-000-000-0216","4.3.3.B","4.3.3.B.2",NULL
147,"REQ-00-000-000-0216","4.3.3.C","4.3.3.C.1","100"
148,"REQ-00-000-000-0216","4.3.3.C","4.3.3.C.2","200"
149,"REQ-00-000-000-0217","1.3.2.A","1.3.2.A.1",NULL
150,"REQ-00-000-000-0217","1.3.2.B","1.3.2.B.1",NULL
151,"REQ-00-000-000-0217","1.3.2.B","1.3.2.B.2",NULL
152,"REQ-00-000-000-0217","1.3.2.B","1.3.2.B.3",NULL
153,"REQ-00-000-000-0217","1.3.2.C","1.3.2.C.2",NULL
154,"REQ-00-000-000-0217","1.3.2.D",NULL,"English"
215,"REQ-00-000-000-0231","5.4.E","5.4.E.2",NULL
216,"REQ-00-000-000-0231","5.4.D","5.4.D.2",NULL
217,"REQ-00-000-000-0232","2.1.A","2.1.A.1",NULL
218,"REQ-00-000-000-0232","2.1.B","2.1.B.4",NULL
219,"REQ-00-000-000-0232","2.1.C","2.1.C.3",NULL
220,"REQ-00-000-000-0232","2.1.D","2.1.D.2",NULL
221,"REQ-00-000-000-0232","2.1.E",NULL,"2"
222,"REQ-00-000-000-0233","4.6.A","4.6.A.6",NULL
223,"REQ-00-000-000-0233","4.6.A","4.6.A.3",NULL
224,"REQ-00-000-000-0233","4.6.B","4.6.B.1",NULL
483,"REQ-00-000-000-0348","2.1.C","2.1.C.2",NULL
484,"REQ-00-000-000-0348","2.1.D","2.1.D.2",NULL
485,"REQ-00-000-000-0348","2.1.E",NULL,"7"
228,"REQ-00-000-000-0235","4.4.C",NULL,"true"
229,"REQ-00-000-000-0235","4.4.A","4.4.A.1",NULL
230,"REQ-00-000-000-0235","4.4.B",NULL,"Computer Science"
231,"REQ-00-000-000-0235","4.4.D","4.4.D.2",NULL
510,"REQ-00-000-000-0354","2.2.E","2.2.E.1",NULL
521,"REQ-00-000-000-0360","1.3.1.A","1.3.1.A.1",NULL
522,"REQ-00-000-000-0371","3.7.A","3.7.A.1",NULL
235,"REQ-00-000-000-0237","3.7.A","3.7.A.1",NULL
236,"REQ-00-000-000-0237","3.7.C","3.7.C.1",NULL
237,"REQ-00-000-000-0237","3.7.E","3.7.E.4",NULL
238,"REQ-00-000-000-0237","3.7.D",NULL,"true"
523,"REQ-00-000-000-0371","3.7.A","3.7.A.2",NULL
524,"REQ-00-000-000-0371","3.7.A","3.7.A.3",NULL
525,"REQ-00-000-000-0371","3.7.C","3.7.C.2",NULL
526,"REQ-00-000-000-0371","3.7.B",NULL,"2026-06-13T04:00:00Z"
527,"REQ-00-000-000-0371","3.7.E","3.7.E.3",NULL
536,"REQ-00-000-000-0375","2.1.A","2.1.A.1",NULL
537,"REQ-00-000-000-0375","2.1.B","2.1.B.3",NULL
246,"REQ-00-000-000-0239","2.1.B","2.1.B.1",NULL
247,"REQ-00-000-000-0239","2.1.C","2.1.C.4",NULL
248,"REQ-00-000-000-0239","2.1.D","2.1.D.2",NULL
249,"REQ-00-000-000-0239","2.1.E",NULL,"21"
250,"REQ-00-000-000-0243","6.8.C",NULL,"2026-04-15T17:09:00Z"
251,"REQ-00-000-000-0244","6.1.B","6.1.B.2","2026-04-15T14:00:00Z"
252,"REQ-00-000-000-0244","6.1.B","6.1.B.1","2026-04-10T10:00:00Z"
253,"REQ-00-000-000-0245","3.7.D",NULL,"true"
254,"REQ-00-000-000-0246","5.4.A","5.4.A.1",NULL
255,"REQ-00-000-000-0246","5.4.B",NULL,"04:44"
256,"REQ-00-000-000-0246","5.4.C","5.4.C.1",NULL
257,"REQ-00-000-000-0246","5.4.D","5.4.D.2",NULL
258,"REQ-00-000-000-0246","5.4.E","5.4.E.2",NULL
259,"REQ-00-000-000-0247","4.3.3.A","4.3.3.A.1",NULL
260,"REQ-00-000-000-0247","4.3.3.B","4.3.3.B.1",NULL
261,"REQ-00-000-000-0247","4.3.3.C","4.3.3.C.1","1000"
262,"REQ-00-000-000-0247","4.3.3.C","4.3.3.C.2","2000"
263,"REQ-00-000-000-0248","6.7.A","6.7.A.2",NULL
264,"REQ-00-000-000-0248","6.7.B","6.7.B.1",NULL
265,"REQ-00-000-000-0248","6.7.C",NULL,"2026-04-15T17:46:00Z"
266,"REQ-00-000-000-0249","2.1.C","2.1.C.2",NULL
267,"REQ-00-000-000-0249","2.1.D","2.1.D.2",NULL
268,"REQ-00-000-000-0249","2.1.E",NULL,"1000"
269,"REQ-00-000-000-0253","2.1.A","2.1.A.2",NULL
270,"REQ-00-000-000-0253","2.1.B","2.1.B.4",NULL
271,"REQ-00-000-000-0253","2.1.C","2.1.C.6",NULL
272,"REQ-00-000-000-0253","2.1.D","2.1.D.2",NULL
273,"REQ-00-000-000-0253","2.1.E",NULL,"4"
274,"REQ-00-000-000-0256","4.3.1.A","4.3.1.A.1",NULL
275,"REQ-00-000-000-0256","4.3.1.A","4.3.1.A.2",NULL
276,"REQ-00-000-000-0256","4.3.1.A","4.3.1.A.3",NULL
277,"REQ-00-000-000-0256","4.3.1.B","4.3.1.B.3",NULL
278,"REQ-00-000-000-0256","4.3.1.C","4.3.1.C.1","10"
279,"REQ-00-000-000-0256","4.3.1.C","4.3.1.C.2","50"
280,"REQ-00-000-000-0257","4.3.1.A","4.3.1.A.1",NULL
281,"REQ-00-000-000-0257","4.3.1.A","4.3.1.A.2",NULL
282,"REQ-00-000-000-0257","4.3.1.B","4.3.1.B.3",NULL
538,"REQ-00-000-000-0375","2.1.C","2.1.C.2",NULL
283,"REQ-00-000-000-0257","4.3.1.C","4.3.1.C.1","10"
284,"REQ-00-000-000-0257","4.3.1.C","4.3.1.C.2","40"
285,"REQ-00-000-000-0260","4.3.3.A","4.3.3.A.1",NULL
286,"REQ-00-000-000-0261","1.3.3.A","1.3.3.A.1",NULL
287,"REQ-00-000-000-0261","1.3.3.B","1.3.3.B.1",NULL
288,"REQ-00-000-000-0261","1.3.3.C","1.3.3.C.1",NULL
289,"REQ-00-000-000-0262","4.6.A","4.6.A.6",NULL
290,"REQ-00-000-000-0266","4.3.1.A","4.3.1.A.2",NULL
291,"REQ-00-000-000-0266","4.3.1.A","4.3.1.A.3",NULL
292,"REQ-00-000-000-0266","4.3.1.B","4.3.1.B.4",NULL
293,"REQ-00-000-000-0266","4.3.1.C","4.3.1.C.1","10"
294,"REQ-00-000-000-0266","4.3.1.C","4.3.1.C.2","100"
295,"REQ-00-000-000-0273","4.4.A","4.4.A.4",NULL
296,"REQ-00-000-000-0274","2.1.A","2.1.A.1",NULL
297,"REQ-00-000-000-0274","2.1.C","2.1.C.2",NULL
298,"REQ-00-000-000-0274","2.1.D","2.1.D.2",NULL
299,"REQ-00-000-000-0274","2.1.E",NULL,"10"
300,"REQ-00-000-000-0275","3.3.3.A","3.3.3.A.1",NULL
301,"REQ-00-000-000-0275","3.3.3.B","3.3.3.B.1",NULL
302,"REQ-00-000-000-0276","3.6.A","3.6.A.1",NULL
303,"REQ-00-000-000-0276","3.6.C","3.6.C.1",NULL
304,"REQ-00-000-000-0276","3.6.D",NULL,"1000"
305,"REQ-00-000-000-0276","3.6.E","3.6.E.2",NULL
306,"REQ-00-000-000-0276","3.6.F","3.6.F.3",NULL
307,"REQ-00-000-000-0276","3.6.G",NULL,"10"
308,"REQ-00-000-000-0276","3.6.I","3.6.I.2",NULL
309,"REQ-00-000-000-0276","3.6.J","3.6.J.1","20"
310,"REQ-00-000-000-0276","3.6.J","3.6.J.2","30"
311,"REQ-00-000-000-0276","3.6.K","3.6.K.1",NULL
312,"REQ-00-000-000-0276","3.6.K","3.6.K.2",NULL
313,"REQ-00-000-000-0278","6.3.A","6.3.A.1","4"
314,"REQ-00-000-000-0278","6.3.A","6.3.A.2","4"
315,"REQ-00-000-000-0278","6.3.C","6.3.C.1",NULL
316,"REQ-00-000-000-0278","6.3.D",NULL,"2026-04-28T02:33:00Z"
317,"REQ-00-000-000-0279","6.1.A",NULL,"sdsd"
318,"REQ-00-000-000-0279","6.1.B","6.1.B.1","2026-04-14T02:32:00Z"
319,"REQ-00-000-000-0279","6.1.C","6.1.C.2",NULL
320,"REQ-00-000-000-0280","5.5.A","5.5.A.2",NULL
321,"REQ-00-000-000-0280","5.5.A","5.5.A.4",NULL
322,"REQ-00-000-000-0280","5.5.B","5.5.B.2",NULL
323,"REQ-00-000-000-0280","5.5.B","5.5.B.4",NULL
324,"REQ-00-000-000-0281","3.4.A","3.4.A.10",NULL
325,"REQ-00-000-000-0281","3.4.A","3.4.A.5",NULL
326,"REQ-00-000-000-0281","3.4.B","3.4.B.2",NULL
327,"REQ-00-000-000-0283","4.3.3.A","4.3.3.A.1",NULL
328,"REQ-00-000-000-0283","4.3.3.B","4.3.3.B.2",NULL
329,"REQ-00-000-000-0283","4.3.3.C","4.3.3.C.1","100"
330,"REQ-00-000-000-0283","4.3.3.C","4.3.3.C.2","200"
331,"REQ-00-000-000-0284","6.7.A","6.7.A.1",NULL
332,"REQ-00-000-000-0284","6.7.B","6.7.B.2",NULL
333,"REQ-00-000-000-0284","6.7.C",NULL,"2026-04-09T20:30:00Z"
334,"REQ-00-000-000-0285","4.3.1.A","4.3.1.A.2",NULL
335,"REQ-00-000-000-0285","4.3.1.B","4.3.1.B.3",NULL
336,"REQ-00-000-000-0285","4.3.1.C","4.3.1.C.1","10"
337,"REQ-00-000-000-0285","4.3.1.C","4.3.1.C.2","50"
338,"REQ-00-000-000-0286","3.3.3.A","3.3.3.A.3",NULL
339,"REQ-00-000-000-0287","4.3.1.A","4.3.1.A.2",NULL
340,"REQ-00-000-000-0287","4.3.1.A","4.3.1.A.3",NULL
341,"REQ-00-000-000-0287","4.3.1.B","4.3.1.B.3",NULL
342,"REQ-00-000-000-0287","4.3.1.C","4.3.1.C.1","10"
343,"REQ-00-000-000-0287","4.3.1.C","4.3.1.C.2","50"
344,"REQ-00-000-000-0288","4.3.1.A","4.3.1.A.2",NULL
345,"REQ-00-000-000-0288","4.3.1.A","4.3.1.A.3",NULL
346,"REQ-00-000-000-0288","4.3.1.B","4.3.1.B.4",NULL
347,"REQ-00-000-000-0288","4.3.1.C","4.3.1.C.1","10"
348,"REQ-00-000-000-0288","4.3.1.C","4.3.1.C.2","100"
349,"REQ-00-000-000-0289","2.2.C","2.2.C.2",NULL
350,"REQ-00-000-000-0289","2.2.D","2.2.D.6",NULL
351,"REQ-00-000-000-0289","2.2.E","2.2.E.3",NULL
352,"REQ-00-000-000-0289","2.2.F",NULL,"100"
353,"REQ-00-000-000-0289","2.2.I",NULL,"2026-04-22T15:40:00Z"
354,"REQ-00-000-000-0290","2.1.B","2.1.B.3",NULL
355,"REQ-00-000-000-0290","2.1.C","2.1.C.6",NULL
356,"REQ-00-000-000-0290","2.1.D","2.1.D.3",NULL
357,"REQ-00-000-000-0291","2.2.D","2.2.D.4",NULL
358,"REQ-00-000-000-0291","2.2.F",NULL,"10"
359,"REQ-00-000-000-0291","2.2.I",NULL,"2026-04-14T17:23:00Z"
360,"REQ-00-000-000-0292","4.2.B","4.2.B.3",NULL
361,"REQ-00-000-000-0293","2.2.A",NULL,"Hello"
362,"REQ-00-000-000-0293","2.2.C","2.2.C.2",NULL
363,"REQ-00-000-000-0293","2.2.D","2.2.D.6",NULL
364,"REQ-00-000-000-0293","2.2.E","2.2.E.3",NULL
365,"REQ-00-000-000-0294","2.2.C","2.2.C.2",NULL
366,"REQ-00-000-000-0294","2.2.D","2.2.D.6",NULL
367,"REQ-00-000-000-0294","2.2.I",NULL,"2026-04-06T15:44:00Z"
368,"REQ-00-000-000-0295","2.2.A",NULL,"ssdszxc"
369,"REQ-00-000-000-0295","2.2.B","2.2.B.1",NULL
370,"REQ-00-000-000-0295","2.2.C","2.2.C.3",NULL
371,"REQ-00-000-000-0295","2.2.D","2.2.D.4",NULL
372,"REQ-00-000-000-0295","2.2.H","2.2.H.1",NULL
373,"REQ-00-000-000-0295","2.2.I",NULL,"2026-04-29T16:56:00Z"
374,"REQ-00-000-000-0297","2.2.C","2.2.C.2",NULL
375,"REQ-00-000-000-0297","2.2.D","2.2.D.4",NULL
376,"REQ-00-000-000-0297","2.2.E","2.2.E.2",NULL
377,"REQ-00-000-000-0297","2.2.I",NULL,"2026-05-07T18:40:00Z"
486,"REQ-00-000-000-0349","4.3.1.A","4.3.1.A.4",NULL
487,"REQ-00-000-000-0349","4.3.1.B","4.3.1.B.1",NULL
511,"REQ-00-000-000-0355","1.1.A","1.1.A.3",NULL
528,"REQ-00-000-000-0373","2.1.A","2.1.A.1",NULL
384,"REQ-00-000-000-0300","4.3.1.A","4.3.1.A.3",NULL
385,"REQ-00-000-000-0300","4.3.1.A","4.3.1.A.4",NULL
386,"REQ-00-000-000-0300","4.3.1.B","4.3.1.B.3",NULL
387,"REQ-00-000-000-0300","4.3.1.C","4.3.1.C.1","10"
388,"REQ-00-000-000-0300","4.3.1.C","4.3.1.C.2","50"
389,"REQ-00-000-000-0308","3.2.A","3.2.A.1",NULL
390,"REQ-00-000-000-0312","6.2.A","6.2.A.1","gmail"
391,"REQ-00-000-000-0313","4.3.1.A","4.3.1.A.1",NULL
392,"REQ-00-000-000-0314","2.1.A","2.1.A.2",NULL
393,"REQ-00-000-000-0314","2.1.B","2.1.B.1",NULL
394,"REQ-00-000-000-0314","2.1.C","2.1.C.2",NULL
395,"REQ-00-000-000-0314","2.1.D","2.1.D.2",NULL
396,"REQ-00-000-000-0314","2.1.E",NULL,"10"
397,"REQ-00-000-000-0315","1.1.A","1.1.A.1",NULL
398,"REQ-00-000-000-0315","1.1.B","1.1.B.1",NULL
399,"REQ-00-000-000-0315","1.1.C",NULL,"2"
400,"REQ-00-000-000-0316","5.3.A","5.3.A.1",NULL
401,"REQ-00-000-000-0316","5.3.B","5.3.B.2",NULL
402,"REQ-00-000-000-0316","5.3.C","5.3.C.3",NULL
403,"REQ-00-000-000-0320","4.3.1.A","4.3.1.A.2",NULL
404,"REQ-00-000-000-0320","4.3.1.B","4.3.1.B.3",NULL
405,"REQ-00-000-000-0320","4.3.1.C","4.3.1.C.1","1000"
406,"REQ-00-000-000-0320","4.3.1.C","4.3.1.C.2","3999.85"
407,"REQ-00-000-000-0321","6.1.A",NULL,"North Carolina"
408,"REQ-00-000-000-0321","6.1.B","6.1.B.2","2026-05-06T10:00:00Z"
409,"REQ-00-000-000-0321","6.1.B","6.1.B.1","2026-05-05T09:00:00Z"
410,"REQ-00-000-000-0321","6.1.C","6.1.C.1",NULL
411,"REQ-00-000-000-0321","6.1.D","6.1.D.1",NULL
412,"REQ-00-000-000-0321","6.1.D","6.1.D.2",NULL
413,"REQ-00-000-000-0298","1.1.A","1.1.A.2",NULL
414,"REQ-00-000-000-0298","1.1.A","1.1.A.4",NULL
415,"REQ-00-000-000-0298","1.1.B","1.1.B.1",NULL
416,"REQ-00-000-000-0298","1.1.C",NULL,"4"
417,"REQ-00-000-000-0298","1.2.A",NULL,"Updated support note"
418,"REQ-00-000-000-0327","6.1.A",NULL,"New Jersy"
419,"REQ-00-000-000-0327","6.1.B","6.1.B.2","2026-05-06T14:30:00Z"
420,"REQ-00-000-000-0327","6.1.B","6.1.B.1","2026-05-05T13:30:00Z"
421,"REQ-00-000-000-0327","6.1.D","6.1.D.1",NULL
422,"REQ-00-000-000-0327","6.1.C","6.1.C.1",NULL
423,"REQ-00-000-000-0329","1.1.A","1.1.A.1",NULL
424,"REQ-00-000-000-0329","1.1.B","1.1.B.1",NULL
425,"REQ-00-000-000-0330","4.3.3.A","4.3.3.A.1",NULL
426,"REQ-00-000-000-0332","1.1.A","1.1.A.1",NULL
427,"REQ-00-000-000-0332","1.1.B","1.1.B.5",NULL
488,"REQ-00-000-000-0351","3.6.A","3.6.A.2",NULL
489,"REQ-00-000-000-0351","3.6.B","3.6.B.1",NULL
490,"REQ-00-000-000-0351","3.6.C","3.6.C.2",NULL
431,"REQ-00-000-000-0336","4.3.3.A","4.3.3.A.1",NULL
491,"REQ-00-000-000-0351","3.6.D",NULL,"2200"
492,"REQ-00-000-000-0351","3.6.E","3.6.E.1",NULL
493,"REQ-00-000-000-0351","3.6.F","3.6.F.1",NULL
494,"REQ-00-000-000-0351","3.6.G",NULL,"2"
495,"REQ-00-000-000-0351","3.6.H","3.6.H.1",NULL
496,"REQ-00-000-000-0351","3.6.H","3.6.H.2",NULL
497,"REQ-00-000-000-0351","3.6.I","3.6.I.1",NULL
498,"REQ-00-000-000-0351","3.6.J","3.6.J.1","18"
499,"REQ-00-000-000-0351","3.6.J","3.6.J.2","40"
512,"REQ-00-000-000-0356","5.4.A","5.4.A.3",NULL
513,"REQ-00-000-000-0356","5.4.B",NULL,"17:23"
514,"REQ-00-000-000-0356","5.4.C","5.4.C.2",NULL
515,"REQ-00-000-000-0356","5.4.D","5.4.D.1",NULL
516,"REQ-00-000-000-0356","5.4.E","5.4.E.2",NULL
529,"REQ-00-000-000-0373","2.1.B","2.1.B.4",NULL
530,"REQ-00-000-000-0373","2.1.C","2.1.C.4",NULL
531,"REQ-00-000-000-0373","2.1.D","2.1.D.2",NULL
532,"REQ-00-000-000-0373","2.1.E",NULL,"20"
539,"REQ-00-000-000-0375","2.1.D","2.1.D.1",NULL
543,"REQ-00-000-000-0377","3.5.A","3.5.A.1",NULL
