request_id,date,country,region,category
R230,2025-05-13 20:23:05.525850,Nepal,East,Food
R231,2025-03-29 20:23:05.525850,India,Central,Housing
R232,2025-03-24 20:23:05.525850,India,South,Financial
R233,2025-04-19 20:23:05.525850,Sri Lanka,West,Food
R234,2025-07-09 20:23:05.525850,Nepal,Central,Medical
R235,2025-05-27 20:23:05.525850,Sri Lanka,West,Food
R236,2025-10-07 20:23:05.525850,Bangladesh,South,Education
R237,2025-01-12 20:23:05.525850,India,Central,Housing
R238,2025-09-04 20:23:05.525850,Bangladesh,North,Housing
R239,2025-08-22 20:23:05.525850,Bangladesh,West,Education
R240,2025-02-03 20:23:05.525850,Nepal,West,Housing
R241,2025-02-22 20:23:05.525850,Bangladesh,West,Financial
R242,2025-08-08 20:23:05.525850,Sri Lanka,South,Financial
R243,2025-02-03 20:23:05.525850,Bangladesh,North,Education
R244,2025-03-23 20:23:05.525850,Nepal,Central,Education
R245,2025-10-20 20:23:05.525850,Nepal,East,Financial
R246,2024-12-29 20:23:05.525850,Sri Lanka,South,Housing
R247,2025-01-19 20:23:05.525850,Sri Lanka,East,Education
R248,2025-01-12 20:23:05.525850,Sri Lanka,West,Education
R249,2025-07-17 20:23:05.525850,Bangladesh,Central,Housing
R250,2025-06-24 20:23:05.525850,Sri Lanka,North,Education
R251,2025-02-21 20:23:05.525850,Sri Lanka,West,Medical
R252,2025-02-10 20:23:05.525850,India,South,Financial
R253,2024-12-23 20:23:05.525850,Nepal,North,Housing
R254,2025-08-31 20:23:05.525850,Sri Lanka,North,Medical
R255,2025-03-26 20:23:05.525850,Bangladesh,North,Housing
R256,2025-06-08 20:23:05.525850,Nepal,Central,Housing
R257,2024-11-23 20:23:05.525850,India,East,Financial
R258,2025-04-10 20:23:05.525850,Nepal,West,Financial
R259,2025-10-03 20:23:05.525850,India,South,Education
R260,2025-06-27 20:23:05.525850,India,West,Food
R261,2024-12-01 20:23:05.525850,India,West,Medical
R262,2024-10-31 20:23:05.525850,Nepal,North,Food
R263,2025-05-08 20:23:05.525850,India,East,Education
R264,2025-04-13 20:23:05.525850,Sri Lanka,South,Medical
R265,2025-01-23 20:23:05.525850,Sri Lanka,Central,Medical
R266,2025-07-26 20:23:05.525850,Bangladesh,North,Financial
R267,2025-04-09 20:23:05.525850,Bangladesh,West,Financial
R268,2025-08-09 20:23:05.525850,Bangladesh,West,Education
R269,2025-02-28 20:23:05.525850,Nepal,North,Housing
R270,2025-05-27 20:23:05.525850,Bangladesh,North,Housing
R271,2025-04-28 20:23:05.525850,Nepal,West,Education
R272,2025-03-02 20:23:05.525850,Nepal,South,Housing
R273,2025-02-16 20:23:05.525850,India,South,Housing
R274,2025-01-02 20:23:05.525850,Nepal,Central,Education
R275,2024-10-28 20:23:05.525850,Nepal,North,Housing
R276,2025-06-03 20:23:05.525850,India,Central,Food
R277,2024-12-15 20:23:05.525850,Sri Lanka,East,Medical
R278,2024-12-15 20:23:05.525850,Nepal,South,Medical
R279,2024-12-08 20:23:05.525850,Nepal,South,Food
R280,2024-12-04 20:23:05.525850,India,East,Housing
R281,2025-10-04 20:23:05.525850,Nepal,South,Food
R282,2025-05-23 20:23:05.525850,Nepal,West,Medical
R283,2025-07-11 20:23:05.525850,Bangladesh,Central,Education
R284,2025-01-23 20:23:05.525850,Nepal,South,Education
R285,2025-02-17 20:23:05.525850,Nepal,East,Food
R286,2025-02-24 20:23:05.525850,India,South,Medical
R287,2024-11-09 20:23:05.525850,Sri Lanka,Central,Education
R288,2025-09-05 20:23:05.525850,Sri Lanka,North,Education
R289,2025-01-20 20:23:05.525850,India,West,Education
R290,2024-11-11 20:23:05.525850,Nepal,Central,Housing
R291,2024-11-29 20:23:05.525850,Nepal,North,Medical
R292,2025-02-22 20:23:05.525850,India,Central,Financial
R293,2025-05-07 20:23:05.525850,Bangladesh,North,Housing
R294,2024-10-28 20:23:05.525850,Nepal,West,Food
R295,2025-08-11 20:23:05.525850,India,North,Education
R296,2025-02-11 20:23:05.525850,India,North,Medical
R297,2025-01-19 20:23:05.525850,Bangladesh,West,Housing
R298,2025-04-15 20:23:05.525850,Sri Lanka,Central,Medical
R299,2025-03-23 20:23:05.525850,India,West,Financial
R300,2025-03-27 20:23:05.525850,Nepal,North,Education
R301,2025-07-02 20:23:05.525850,Sri Lanka,West,Medical
R302,2025-04-19 20:23:05.525850,India,East,Financial
R303,2024-11-25 20:23:05.525850,Nepal,North,Housing
R304,2025-06-02 20:23:05.525850,Bangladesh,North,Housing
R305,2025-09-05 20:23:05.525850,Bangladesh,Central,Food
R306,2025-09-26 20:23:05.525850,Nepal,South,Medical
R307,2025-01-05 20:23:05.525850,Bangladesh,North,Financial
R308,2025-07-07 20:23:05.525850,Bangladesh,South,Education
R309,2025-08-07 20:23:05.525850,India,East,Medical
R310,2025-08-16 20:23:05.525850,Nepal,South,Food
R311,2024-11-17 20:23:05.525850,India,South,Food
R312,2025-04-21 20:23:05.525850,Bangladesh,Central,Education
R313,2025-10-13 20:23:05.525850,Bangladesh,East,Food
R314,2025-08-18 20:23:05.525850,Sri Lanka,Central,Food
R315,2025-09-19 20:23:05.525850,Sri Lanka,West,Education
R316,2025-02-01 20:23:05.525850,India,West,Financial
R317,2025-06-30 20:23:05.525850,India,Central,Education
R318,2025-03-01 20:23:05.525850,India,North,Housing
R319,2025-03-30 20:23:05.525850,Sri Lanka,North,Housing
R320,2024-10-22 20:23:05.525850,Sri Lanka,North,Food
R321,2025-05-10 20:23:05.525850,Bangladesh,North,Medical
R322,2025-06-03 20:23:05.525850,Nepal,West,Financial
R323,2025-01-23 20:23:05.525850,Nepal,West,Financial
R324,2024-12-16 20:23:05.525850,Sri Lanka,North,Food
R325,2024-11-20 20:23:05.525850,Bangladesh,West,Housing
R326,2025-06-27 20:23:05.525850,Sri Lanka,East,Housing
R327,2025-03-31 20:23:05.525850,Sri Lanka,North,Education
R328,2025-03-17 20:23:05.525850,Nepal,East,Education
R329,2025-08-04 20:23:05.525850,Sri Lanka,North,Food
R330,2025-09-08 20:23:05.525850,India,West,Food
R331,2025-04-14 20:23:05.525850,Bangladesh,Central,Food
R332,2024-12-25 20:23:05.525850,Nepal,North,Housing
R333,2025-04-23 20:23:05.525850,Sri Lanka,North,Education
R334,2024-12-18 20:23:05.525850,Nepal,East,Food
R335,2024-12-30 20:23:05.525850,Bangladesh,South,Housing
R336,2025-06-29 20:23:05.525850,India,East,Financial
R337,2025-04-16 20:23:05.525850,India,East,Financial
R338,2025-06-28 20:23:05.525850,Sri Lanka,Central,Financial
R339,2024-12-11 20:23:05.525850,India,Central,Education
R340,2025-10-07 20:23:05.525850,Bangladesh,East,Education
R341,2025-05-01 20:23:05.525850,Nepal,North,Medical
R342,2025-08-09 20:23:05.525850,Sri Lanka,North,Medical
R343,2024-12-01 20:23:05.525850,India,North,Financial
R344,2025-07-03 20:23:05.525850,Sri Lanka,West,Housing
R345,2025-04-30 20:23:05.525850,Bangladesh,East,Education
R346,2025-05-08 20:23:05.525850,India,North,Medical
R347,2025-08-02 20:23:05.525850,India,North,Education
R348,2025-03-09 20:23:05.525850,Sri Lanka,West,Financial
R349,2025-03-09 20:23:05.525850,Sri Lanka,East,Medical
R350,2025-02-01 20:23:05.525850,India,East,Housing
R351,2025-08-26 20:23:05.525850,Nepal,Central,Housing
R352,2025-01-25 20:23:05.525850,Nepal,North,Medical
R353,2025-04-02 20:23:05.525850,India,North,Medical
R354,2025-05-20 20:23:05.525850,Bangladesh,South,Education
R355,2025-05-26 20:23:05.525850,Nepal,North,Food
R356,2025-02-09 20:23:05.525850,Sri Lanka,South,Medical
R357,2025-04-10 20:23:05.525850,Bangladesh,Central,Financial
R358,2024-11-13 20:23:05.525850,Nepal,North,Housing
R359,2025-09-30 20:23:05.525850,Sri Lanka,North,Housing
R360,2025-09-12 20:23:05.525850,Nepal,Central,Housing
R361,2025-01-01 20:23:05.525850,Sri Lanka,West,Education
R362,2025-08-24 20:23:05.525850,Sri Lanka,North,Education
R363,2025-07-26 20:23:05.525850,Sri Lanka,East,Food
R364,2025-03-12 20:23:05.525850,India,South,Housing
R365,2024-12-24 20:23:05.525850,Sri Lanka,Central,Food
R366,2025-04-02 20:23:05.525850,Nepal,East,Medical
R367,2025-05-04 20:23:05.525850,Bangladesh,North,Financial
R368,2024-12-01 20:23:05.525850,India,Central,Financial
R369,2025-07-14 20:23:05.525850,Nepal,East,Medical
R370,2025-06-23 20:23:05.525850,India,South,Education
R371,2025-07-12 20:23:05.525850,Bangladesh,Central,Medical
R372,2024-11-20 20:23:05.525850,India,South,Housing
R373,2025-02-26 20:23:05.525850,Sri Lanka,Central,Financial
R374,2025-05-09 20:23:05.525850,Nepal,South,Housing
R375,2025-09-17 20:23:05.525850,Sri Lanka,West,Education
R376,2025-06-03 20:23:05.525850,India,East,Financial
R377,2025-09-14 20:23:05.525850,Nepal,West,Housing
R378,2025-10-02 20:23:05.525850,India,East,Education
R379,2025-09-12 20:23:05.525850,India,Central,Financial
R380,2025-02-04 20:23:05.525850,Sri Lanka,West,Financial
R381,2025-01-11 20:23:05.525850,India,West,Financial
R382,2024-11-22 20:23:05.525850,Bangladesh,East,Financial
R383,2025-02-20 20:23:05.525850,Bangladesh,North,Housing
R384,2025-08-30 20:23:05.525850,Nepal,North,Financial
R385,2024-11-25 20:23:05.525850,Bangladesh,North,Medical
R386,2024-10-24 20:23:05.525850,Sri Lanka,West,Financial
R387,2025-01-27 20:23:05.525850,Bangladesh,East,Education
R388,2025-05-30 20:23:05.525850,Sri Lanka,West,Education
R389,2024-11-08 20:23:05.525850,India,East,Food
R390,2025-05-06 20:23:05.525850,India,Central,Housing
R391,2025-05-29 20:23:05.525850,Nepal,Central,Medical
R392,2025-05-04 20:23:05.525850,India,Central,Medical
R393,2025-04-25 20:23:05.525850,Nepal,West,Medical
R394,2024-12-21 20:23:05.525850,India,East,Financial
R395,2025-04-12 20:23:05.525850,Nepal,South,Financial
R396,2025-09-04 20:23:05.525850,Sri Lanka,Central,Education
R397,2025-10-12 20:23:05.525850,Nepal,East,Medical
R398,2025-07-04 20:23:05.525850,Nepal,West,Medical
R399,2025-06-28 20:23:05.525850,Bangladesh,South,Food
R400,2025-05-23 20:23:05.525850,India,Central,Financial
R401,2025-01-25 20:23:05.525850,India,East,Financial
R402,2025-08-15 20:23:05.525850,Sri Lanka,South,Medical
R403,2025-07-21 20:23:05.525850,Bangladesh,West,Food
R404,2025-03-25 20:23:05.525850,Nepal,South,Housing
R405,2024-12-13 20:23:05.525850,Nepal,West,Medical
R406,2025-01-21 20:23:05.525850,Bangladesh,East,Housing
R407,2025-07-14 20:23:05.525850,Nepal,Central,Housing
R408,2025-02-27 20:23:05.525850,Nepal,West,Financial
R409,2025-01-24 20:23:05.525850,Sri Lanka,South,Medical
R410,2024-12-16 20:23:05.525850,Bangladesh,East,Food
R411,2024-11-27 20:23:05.525850,Sri Lanka,East,Financial
R412,2025-08-30 20:23:05.525850,India,East,Food
R413,2025-07-31 20:23:05.525850,Nepal,West,Financial
R414,2025-08-07 20:23:05.525850,Sri Lanka,North,Medical
R415,2025-03-05 20:23:05.525850,Nepal,North,Housing
R416,2025-09-24 20:23:05.525850,Sri Lanka,Central,Education
R417,2025-06-23 20:23:05.525850,Sri Lanka,North,Education
R418,2025-06-29 20:23:05.525850,India,East,Food
R419,2024-10-21 20:23:05.525850,Nepal,South,Medical
R420,2025-10-02 20:23:05.525850,Nepal,West,Medical
R421,2024-10-25 20:23:05.525850,Sri Lanka,West,Financial
R422,2025-10-19 20:23:05.525850,India,North,Education
R423,2025-07-03 20:23:05.525850,Bangladesh,Central,Financial
R424,2025-01-24 20:23:05.525850,Sri Lanka,North,Education
R425,2025-06-22 20:23:05.525850,Nepal,North,Food
R426,2025-06-21 20:23:05.525850,Sri Lanka,Central,Housing
R427,2025-09-19 20:23:05.525850,India,West,Financial
R428,2025-01-20 20:23:05.525850,India,Central,Financial
R429,2025-06-20 20:23:05.525850,Bangladesh,East,Housing
R430,2025-10-21 20:23:05.525850,Nepal,South,Financial
R431,2025-03-22 20:23:05.525850,Bangladesh,North,Financial
R432,2025-04-20 20:23:05.525850,India,Central,Financial
R433,2025-02-04 20:23:05.525850,India,West,Housing
R434,2025-09-29 20:23:05.525850,Sri Lanka,East,Education
R435,2025-10-13 20:23:05.525850,Nepal,North,Education
R436,2025-06-20 20:23:05.525850,India,Central,Education
R437,2025-08-14 20:23:05.525850,India,East,Financial
R438,2025-05-01 20:23:05.525850,Bangladesh,West,Housing
R439,2024-12-02 20:23:05.525850,Bangladesh,South,Food
R440,2025-03-01 20:23:05.525850,India,East,Medical
R441,2025-09-29 20:23:05.525850,Bangladesh,North,Education
R442,2025-05-16 20:23:05.525850,Sri Lanka,Central,Housing
R443,2025-06-14 20:23:05.525850,India,South,Education
R444,2025-04-22 20:23:05.525850,India,East,Education
R445,2025-08-19 20:23:05.525850,Nepal,West,Housing
R446,2025-03-10 20:23:05.525850,Sri Lanka,East,Medical
R447,2025-02-09 20:23:05.525850,Sri Lanka,East,Financial
R448,2025-06-07 20:23:05.525850,India,West,Food
R449,2025-03-15 20:23:05.525850,Bangladesh,Central,Education
R450,2025-05-10 20:23:05.525850,India,North,Education
R451,2024-11-17 20:23:05.525850,Nepal,East,Housing
R452,2024-12-17 20:23:05.525850,Sri Lanka,South,Housing
R453,2025-04-25 20:23:05.525850,Sri Lanka,North,Education
R454,2024-12-11 20:23:05.525850,Sri Lanka,East,Food
R455,2025-09-13 20:23:05.525850,Sri Lanka,East,Financial
R456,2024-11-08 20:23:05.525850,Bangladesh,North,Medical
R457,2024-12-14 20:23:05.525850,Sri Lanka,North,Medical
R458,2025-09-17 20:23:05.525850,Bangladesh,East,Education
R459,2025-04-08 20:23:05.525850,India,Central,Medical
R460,2024-11-08 20:23:05.525850,Sri Lanka,East,Education
R461,2025-03-08 20:23:05.525850,India,Central,Medical
R462,2025-01-23 20:23:05.525850,Nepal,West,Education
