language_id,language_name,iso_639_1_code,locale_code,writing_direction,total_speakers_m,is_active,created_at,last_updated_at
72,win,deal,point,than,37.5,True,against,2022-01-14 21:48:04
73,involve,four,health,half,15.28,True,those,2021-05-15 01:23:45
74,most,dark,long,listen,66.54,True,occur,2024-05-26 13:13:36
75,debate,share,challenge,civil,54.07,False,almost,2022-06-16 13:28:50
76,hour,anyone,whose,degree,47.89,False,stage,2021-08-27 03:41:37
77,bag,poor,dream,game,89.08,True,later,2022-09-12 21:28:01
78,exactly,fish,professional,however,2.28,True,policy,2024-03-05 19:01:08
79,pick,police,look,common,68.77,False,out,2020-04-01 22:22:41
80,whatever,require,lawyer,kid,10.84,False,paper,2024-07-27 06:24:59
81,teach,daughter,since,nothing,84.55,True,happy,2023-08-27 18:56:01
82,too,check,teach,young,71.89,True,item,2021-08-18 02:59:03
83,day,town,good,analysis,74.99,False,experience,2023-01-15 14:04:56
84,firm,face,well,gas,76.14,False,together,2022-05-18 21:19:52
85,long,the,once,director,24.28,True,director,2024-05-30 08:53:57
86,accept,others,but,individual,91.33,True,arrive,2023-03-15 01:11:03
87,blue,product,he,space,33.76,False,herself,2023-11-18 01:00:28
88,deep,specific,administration,drop,49.17,False,arm,2023-09-30 12:43:04
89,let,rock,lead,later,35.77,False,heavy,2023-01-14 17:01:37
90,difference,those,quite,still,90.34,True,past,2021-08-16 00:55:45
91,eight,large,total,long,10.47,True,ten,2020-04-20 13:34:14
92,already,late,pick,want,20.22,True,new,2022-11-18 07:05:14
93,different,marriage,future,civil,11.89,False,require,2025-08-19 08:35:49
94,hair,eye,option,and,31.63,False,reach,2025-08-20 16:10:48
95,control,word,view,talk,33.13,False,their,2024-06-27 12:33:16
96,pick,choice,throw,at,43.42,False,hard,2025-07-17 13:01:39
97,front,day,from,community,7.59,False,military,2024-07-29 03:02:41
98,dream,world,food,price,51.08,False,wrong,2023-05-23 03:18:16
99,firm,everyone,speech,company,33.32,True,color,2024-04-21 00:45:18
100,attention,dark,crime,history,50.1,True,occur,2024-02-14 13:58:01
