fraud_request_id,user_id,request_datetime,reason
50,U572,2026-01-21 18:21:58,Possible account takeover concern
51,U317,2026-02-28 03:44:46,Unrecognized transaction reported
52,U124,2025-10-30 08:26:12,Reported unauthorized access
53,U023,2025-11-08 21:25:56,Abnormal account activity detected
54,U492,2026-01-11 14:19:43,Duplicate suspicious request flagged
55,U438,2026-03-13 19:11:55,Suspicious payment activity detected
56,U241,2026-04-02 03:19:42,Unrecognized transaction reported
57,U713,2025-11-21 11:03:05,Duplicate suspicious request flagged
58,U329,2026-01-30 15:04:35,Multiple failed login attempts
59,U039,2025-11-20 20:59:09,Reported unauthorized access
60,U523,2026-03-20 00:54:39,Unrecognized transaction reported
61,U754,2025-11-16 18:33:16,Identity verification mismatch
62,U541,2026-01-29 12:55:57,Possible account takeover concern
63,U709,2026-02-08 00:04:19,Abnormal account activity detected
64,U478,2026-04-05 08:31:45,Suspicious payment activity detected
65,U790,2026-03-25 20:24:21,Possible account takeover concern
66,U538,2026-02-20 10:31:07,Identity verification mismatch
67,U563,2025-12-01 01:13:03,Unrecognized transaction reported
68,U384,2026-01-15 16:50:45,Possible account takeover concern
69,U701,2025-11-08 05:15:00,Abnormal account activity detected
70,U093,2026-01-13 07:49:39,Multiple failed login attempts
71,U714,2026-03-04 15:21:44,Reported unauthorized access
72,U574,2026-01-31 22:39:01,Possible account takeover concern
73,U530,2025-11-12 17:25:34,Abnormal account activity detected
74,U733,2026-01-01 01:01:31,Duplicate suspicious request flagged
75,U289,2025-11-05 00:34:48,Reported unauthorized access
76,U343,2026-01-23 09:37:06,Identity verification mismatch
77,U604,2025-11-16 00:18:04,Unrecognized transaction reported
78,U492,2025-10-22 09:05:36,Unrecognized transaction reported
79,U532,2026-04-06 21:17:08,Identity verification mismatch
80,U280,2025-11-07 22:14:18,Unrecognized transaction reported
81,U083,2025-11-29 12:13:42,Multiple failed login attempts
82,U141,2025-11-10 03:22:20,Identity verification mismatch
83,U567,2026-02-19 09:25:18,Suspicious payment activity detected
84,U025,2025-10-19 13:53:34,Abnormal account activity detected
85,U367,2026-04-04 11:56:17,Abnormal account activity detected
86,U222,2026-04-02 21:52:23,Unrecognized transaction reported
87,U072,2026-04-14 06:08:10,Possible account takeover concern
88,U202,2026-02-27 17:54:57,Suspicious payment activity detected
89,U139,2025-10-26 04:27:44,Identity verification mismatch
90,U777,2026-01-05 20:09:17,Multiple failed login attempts
91,U359,2026-01-17 17:00:11,Multiple failed login attempts
92,U585,2025-11-06 06:45:32,Identity verification mismatch
93,U586,2026-02-22 10:01:26,Reported unauthorized access
94,U412,2026-03-01 00:02:51,Reported unauthorized access
95,U360,2026-02-23 19:14:24,Suspicious payment activity detected
96,U133,2025-12-31 21:50:45,Possible account takeover concern
97,U477,2025-12-17 19:49:09,Multiple failed login attempts
98,U737,2025-11-22 03:46:34,Identity verification mismatch
99,U718,2025-12-11 10:23:58,Unrecognized transaction reported
100,U022,2026-03-07 07:19:26,Reported unauthorized access
101,U571,2026-04-03 08:30:58,Suspicious payment activity detected
102,U071,2025-12-30 02:34:13,Possible account takeover concern
103,U712,2026-01-07 18:12:03,Possible account takeover concern
104,U772,2025-12-17 11:22:05,Suspicious payment activity detected
105,U717,2026-03-07 19:02:33,Reported unauthorized access
106,U061,2026-03-14 06:52:46,Reported unauthorized access
107,U450,2025-10-26 05:02:45,Possible account takeover concern
108,U663,2026-01-16 21:46:53,Abnormal account activity detected
109,U745,2026-03-31 00:45:32,Possible account takeover concern
110,U660,2025-12-01 04:23:56,Unrecognized transaction reported
111,U481,2025-10-22 18:22:43,Reported unauthorized access
112,U598,2025-11-23 06:39:24,Suspicious payment activity detected
113,U653,2025-11-07 16:51:12,Identity verification mismatch
114,U513,2025-12-31 23:13:14,Abnormal account activity detected
115,U365,2025-12-25 10:08:00,Suspicious payment activity detected
116,U091,2025-11-14 07:01:26,Abnormal account activity detected
117,U732,2025-11-21 02:05:24,Suspicious payment activity detected
118,U194,2025-10-21 01:04:25,Reported unauthorized access
119,U169,2025-12-20 04:34:18,Abnormal account activity detected
120,U110,2026-03-16 19:17:16,Suspicious payment activity detected
121,U094,2025-10-21 01:02:11,Multiple failed login attempts
122,U760,2025-10-26 05:23:53,Multiple failed login attempts
123,U706,2026-03-30 07:56:11,Duplicate suspicious request flagged
124,U773,2026-02-03 23:50:10,Multiple failed login attempts
125,U241,2025-10-28 12:37:57,Identity verification mismatch
126,U216,2026-04-02 16:44:45,Possible account takeover concern
127,U470,2025-10-20 05:33:41,Abnormal account activity detected
128,U046,2025-11-25 17:57:07,Suspicious payment activity detected
129,U441,2025-12-22 21:26:56,Duplicate suspicious request flagged
130,U515,2025-12-30 18:12:22,Unrecognized transaction reported
131,U446,2026-03-04 12:05:40,Identity verification mismatch
132,U074,2026-03-07 03:08:59,Reported unauthorized access
133,U161,2026-03-14 09:36:02,Possible account takeover concern
134,U319,2025-11-23 21:54:13,Unrecognized transaction reported
135,U209,2025-11-07 08:49:05,Duplicate suspicious request flagged
136,U329,2025-11-28 23:33:55,Multiple failed login attempts
137,U361,2025-12-08 02:35:29,Multiple failed login attempts
138,U300,2026-04-08 03:03:09,Unrecognized transaction reported
139,U366,2026-03-30 07:46:38,Suspicious payment activity detected
140,U424,2026-04-07 22:21:30,Suspicious payment activity detected
141,U703,2025-11-07 18:37:38,Multiple failed login attempts
142,U644,2026-03-30 02:18:43,Multiple failed login attempts
143,U770,2025-10-28 12:47:54,Duplicate suspicious request flagged
144,U199,2025-12-14 02:42:15,Duplicate suspicious request flagged
145,U402,2026-01-30 19:33:32,Multiple failed login attempts
146,U286,2026-01-08 15:17:27,Suspicious payment activity detected
147,U046,2026-01-18 08:11:15,Duplicate suspicious request flagged
148,U448,2026-01-27 10:48:08,Identity verification mismatch
149,U568,2026-03-18 06:53:00,Multiple failed login attempts
150,U650,2026-03-29 08:13:52,Identity verification mismatch
151,U371,2025-12-11 21:57:52,Duplicate suspicious request flagged
152,U337,2026-01-08 21:38:14,Duplicate suspicious request flagged
153,U188,2026-01-24 09:18:08,Suspicious payment activity detected
154,U362,2025-12-03 10:53:05,Duplicate suspicious request flagged
155,U348,2026-02-12 05:02:16,Suspicious payment activity detected
156,U084,2025-10-22 15:25:37,Duplicate suspicious request flagged
157,U101,2026-02-15 20:54:01,Multiple failed login attempts
158,U439,2025-12-07 00:41:21,Identity verification mismatch
159,U500,2026-02-26 10:55:46,Abnormal account activity detected
160,U179,2026-01-20 15:47:02,Duplicate suspicious request flagged
161,U649,2026-02-17 18:25:33,Identity verification mismatch
162,U167,2025-11-13 07:42:18,Abnormal account activity detected
163,U566,2025-11-03 03:24:32,Identity verification mismatch
164,U340,2025-11-25 05:56:44,Reported unauthorized access
165,U512,2025-11-15 14:52:46,Duplicate suspicious request flagged
166,U703,2026-01-31 03:05:51,Reported unauthorized access
167,U069,2025-11-30 05:18:05,Suspicious payment activity detected
168,U494,2026-03-29 22:27:16,Unrecognized transaction reported
169,U054,2025-11-11 17:26:55,Suspicious payment activity detected
170,U479,2025-10-18 10:00:59,Suspicious payment activity detected
171,U612,2026-02-18 16:52:50,Possible account takeover concern
172,U235,2026-01-15 08:09:02,Reported unauthorized access
173,U174,2025-11-26 12:47:50,Unrecognized transaction reported
174,U152,2026-04-06 07:58:53,Abnormal account activity detected
175,U784,2026-03-22 07:45:08,Duplicate suspicious request flagged
176,U490,2026-04-04 15:57:55,Possible account takeover concern
177,U488,2026-01-04 16:04:39,Possible account takeover concern
178,U317,2026-03-22 09:29:46,Possible account takeover concern
179,U260,2026-03-28 16:32:39,Suspicious payment activity detected
180,U020,2026-03-04 20:55:39,Unrecognized transaction reported
181,U225,2025-11-06 17:36:44,Suspicious payment activity detected
182,U035,2025-11-22 15:45:26,Suspicious payment activity detected
183,U616,2025-10-18 17:34:08,Multiple failed login attempts
184,U320,2025-11-23 02:19:53,Unrecognized transaction reported
185,U357,2026-02-11 03:40:16,Reported unauthorized access
186,U446,2025-11-28 14:13:54,Suspicious payment activity detected
187,U663,2025-10-19 02:41:16,Identity verification mismatch
188,U493,2026-02-03 02:04:21,Abnormal account activity detected
189,U369,2026-02-03 10:57:01,Multiple failed login attempts
190,U724,2026-02-19 13:21:38,Multiple failed login attempts
191,U376,2025-12-26 03:16:08,Abnormal account activity detected
192,U708,2026-02-01 16:12:52,Unrecognized transaction reported
193,U048,2026-02-02 18:16:22,Duplicate suspicious request flagged
194,U619,2025-10-25 04:41:33,Reported unauthorized access
195,U348,2026-04-08 01:42:20,Unrecognized transaction reported
196,U550,2026-03-09 00:55:49,Reported unauthorized access
197,U663,2025-11-01 16:36:59,Identity verification mismatch
198,U480,2026-01-21 03:45:18,Possible account takeover concern
199,U015,2026-03-16 22:45:23,Duplicate suspicious request flagged
200,U145,2026-02-20 04:25:25,Identity verification mismatch
201,U100,2026-03-02 19:19:12,Possible account takeover concern
202,U589,2026-02-25 12:14:30,Unrecognized transaction reported
203,U266,2026-03-02 09:35:43,Multiple failed login attempts
204,U165,2025-12-02 09:11:49,Identity verification mismatch
205,U195,2025-10-28 08:11:38,Abnormal account activity detected
206,U524,2025-11-29 05:54:48,Reported unauthorized access
207,U292,2026-04-01 14:26:53,Reported unauthorized access
208,U406,2026-03-15 12:29:06,Reported unauthorized access
209,U070,2026-01-22 13:05:18,Suspicious payment activity detected
210,U625,2026-01-10 21:50:44,Duplicate suspicious request flagged
211,U761,2025-11-21 09:03:02,Duplicate suspicious request flagged
212,U114,2025-11-05 19:22:55,Abnormal account activity detected
213,U425,2026-04-12 22:00:48,Multiple failed login attempts
214,U265,2025-11-06 00:35:33,Suspicious payment activity detected
215,U237,2025-11-21 09:33:15,Abnormal account activity detected
216,U754,2025-10-22 12:23:28,Multiple failed login attempts
217,U676,2026-02-19 14:18:29,Duplicate suspicious request flagged
218,U490,2025-11-02 07:31:10,Identity verification mismatch
219,U360,2025-11-13 10:34:49,Reported unauthorized access
220,U191,2025-12-19 03:44:24,Duplicate suspicious request flagged
221,U672,2026-03-27 14:01:37,Duplicate suspicious request flagged
222,U391,2025-11-28 21:15:33,Multiple failed login attempts
223,U585,2026-03-18 20:25:46,Suspicious payment activity detected
224,U167,2026-03-07 06:05:06,Multiple failed login attempts
225,U196,2026-01-04 03:49:02,Multiple failed login attempts
226,U610,2025-11-11 16:15:49,Possible account takeover concern
227,U110,2026-02-13 21:40:54,Possible account takeover concern
228,U062,2026-01-06 11:36:00,Duplicate suspicious request flagged
229,U373,2026-02-02 21:02:06,Identity verification mismatch
230,U593,2025-10-18 11:40:39,Identity verification mismatch
231,U624,2026-01-23 08:50:13,Duplicate suspicious request flagged
232,U695,2026-02-10 09:18:30,Identity verification mismatch
233,U131,2026-02-02 15:33:49,Unrecognized transaction reported
234,U344,2025-12-14 21:14:24,Multiple failed login attempts
235,U335,2026-03-10 17:27:14,Multiple failed login attempts
236,U481,2026-04-07 16:28:01,Abnormal account activity detected
237,U469,2025-12-30 23:32:50,Abnormal account activity detected
238,U604,2025-12-25 03:36:01,Abnormal account activity detected
239,U793,2026-03-27 23:10:49,Suspicious payment activity detected
240,U292,2026-03-15 21:38:00,Identity verification mismatch
241,U252,2026-03-31 10:13:13,Suspicious payment activity detected
242,U675,2026-01-28 11:58:15,Possible account takeover concern
243,U168,2026-02-23 15:53:24,Unrecognized transaction reported
244,U573,2026-02-03 13:40:11,Identity verification mismatch
245,U057,2026-01-24 21:27:55,Duplicate suspicious request flagged
246,U189,2026-02-10 17:07:59,Abnormal account activity detected
247,U394,2025-12-31 02:48:09,Identity verification mismatch
248,U746,2025-12-12 15:40:17,Identity verification mismatch
249,U663,2026-03-12 04:41:46,Possible account takeover concern
250,U544,2025-10-25 03:43:29,Possible account takeover concern
251,U773,2026-02-11 04:49:53,Suspicious payment activity detected
252,U628,2026-02-23 15:09:27,Multiple failed login attempts
253,U218,2026-02-21 12:35:19,Suspicious payment activity detected
254,U220,2025-11-06 22:05:49,Abnormal account activity detected
255,U520,2025-11-01 06:46:45,Abnormal account activity detected
256,U322,2026-03-24 12:03:18,Reported unauthorized access
257,U609,2026-03-22 11:35:35,Possible account takeover concern
258,U094,2025-11-16 09:23:15,Suspicious payment activity detected
259,U447,2025-12-19 12:05:50,Suspicious payment activity detected
260,U066,2026-04-10 08:35:31,Duplicate suspicious request flagged
261,U305,2025-11-18 05:32:05,Possible account takeover concern
262,U525,2026-03-23 18:52:33,Possible account takeover concern
263,U060,2025-12-23 21:02:12,Identity verification mismatch
264,U334,2025-11-18 18:36:31,Multiple failed login attempts
265,U155,2026-04-05 04:35:39,Identity verification mismatch
266,U164,2026-01-27 22:12:59,Duplicate suspicious request flagged
267,U245,2026-02-06 16:05:51,Abnormal account activity detected
268,U295,2026-03-21 11:06:42,Unrecognized transaction reported
269,U791,2025-11-15 04:31:55,Abnormal account activity detected
270,U598,2026-01-22 05:16:21,Duplicate suspicious request flagged
271,U356,2025-12-24 23:29:27,Reported unauthorized access
272,U272,2026-04-01 16:00:31,Reported unauthorized access
273,U056,2026-03-12 06:30:00,Identity verification mismatch
274,U027,2025-11-11 09:31:10,Abnormal account activity detected
275,U446,2026-03-07 09:28:44,Suspicious payment activity detected
276,U722,2025-11-21 13:52:36,Unrecognized transaction reported
277,U245,2025-11-19 14:30:45,Suspicious payment activity detected
278,U570,2026-03-13 05:19:00,Multiple failed login attempts
279,U247,2025-10-25 15:30:59,Possible account takeover concern
280,U746,2025-12-08 15:36:56,Duplicate suspicious request flagged
281,U782,2025-12-29 13:40:37,Reported unauthorized access
282,U142,2025-12-23 09:38:16,Suspicious payment activity detected
283,U215,2026-03-23 10:14:23,Identity verification mismatch
284,U444,2026-04-06 15:52:10,Reported unauthorized access
285,U456,2026-02-25 08:51:47,Possible account takeover concern
286,U735,2026-02-13 15:32:32,Suspicious payment activity detected
287,U522,2025-11-01 09:08:32,Suspicious payment activity detected
288,U799,2026-04-13 16:15:53,Suspicious payment activity detected
289,U061,2025-12-03 12:15:21,Suspicious payment activity detected
290,U662,2026-03-21 17:59:36,Multiple failed login attempts
291,U733,2026-04-12 21:07:56,Reported unauthorized access
292,U581,2025-11-23 06:36:44,Reported unauthorized access
293,U324,2025-11-09 07:07:42,Multiple failed login attempts
294,U560,2025-11-29 12:06:29,Possible account takeover concern
295,U237,2026-03-09 23:15:23,Identity verification mismatch
296,U654,2026-01-23 17:44:00,Abnormal account activity detected
297,U037,2025-11-14 02:31:10,Identity verification mismatch
298,U664,2026-01-31 04:35:49,Unrecognized transaction reported
299,U475,2026-03-16 15:47:52,Possible account takeover concern
300,U704,2026-03-23 04:09:40,Identity verification mismatch
301,U595,2026-03-29 19:48:37,Possible account takeover concern
302,U384,2026-03-30 04:45:08,Reported unauthorized access
303,U624,2025-12-06 22:37:23,Reported unauthorized access
304,U464,2026-03-15 05:04:24,Duplicate suspicious request flagged
305,U701,2026-02-05 15:21:34,Suspicious payment activity detected
306,U430,2026-03-03 14:54:24,Suspicious payment activity detected
307,U202,2026-03-31 03:45:49,Reported unauthorized access
308,U372,2025-10-25 21:50:35,Duplicate suspicious request flagged
309,U432,2026-01-29 08:10:00,Possible account takeover concern
310,U793,2025-12-17 18:04:52,Suspicious payment activity detected
311,U124,2025-11-19 22:28:58,Possible account takeover concern
312,U534,2026-03-15 15:53:48,Duplicate suspicious request flagged
313,U733,2025-12-25 02:54:54,Abnormal account activity detected
314,U382,2026-02-13 14:03:19,Suspicious payment activity detected
315,U690,2026-01-26 09:40:19,Suspicious payment activity detected
316,U320,2026-03-28 08:57:54,Unrecognized transaction reported
317,U624,2025-11-08 12:16:32,Suspicious payment activity detected
318,U589,2025-12-15 18:39:17,Identity verification mismatch
319,U739,2026-01-04 19:05:49,Unrecognized transaction reported
320,U788,2025-12-10 22:59:02,Suspicious payment activity detected
321,U551,2026-02-28 06:17:51,Identity verification mismatch
322,U588,2026-02-24 12:46:43,Multiple failed login attempts
323,U408,2025-10-24 03:16:19,Reported unauthorized access
324,U706,2026-04-01 15:33:10,Duplicate suspicious request flagged
325,U572,2026-02-24 10:45:49,Reported unauthorized access
326,U028,2025-12-29 20:59:59,Identity verification mismatch
327,U058,2026-02-07 21:43:44,Identity verification mismatch
328,U474,2026-04-12 18:02:29,Abnormal account activity detected
329,U661,2025-12-10 03:42:55,Abnormal account activity detected
330,U127,2025-11-18 03:49:25,Multiple failed login attempts
331,U654,2025-12-24 23:51:44,Unrecognized transaction reported
332,U682,2026-03-10 20:48:17,Identity verification mismatch
333,U365,2026-01-28 05:08:20,Multiple failed login attempts
334,U361,2025-10-26 03:33:08,Abnormal account activity detected
335,U523,2026-02-06 17:38:31,Suspicious payment activity detected
336,U741,2025-12-24 06:18:16,Duplicate suspicious request flagged
337,U288,2025-12-10 13:31:00,Suspicious payment activity detected
338,U341,2026-03-19 18:58:27,Reported unauthorized access
339,U324,2025-11-26 11:37:42,Duplicate suspicious request flagged
340,U240,2025-12-21 08:40:12,Identity verification mismatch
341,U133,2025-12-28 11:51:09,Abnormal account activity detected
342,U050,2025-10-27 07:52:55,Reported unauthorized access
343,U552,2025-11-14 09:25:33,Duplicate suspicious request flagged
344,U652,2025-12-12 01:19:36,Multiple failed login attempts
345,U322,2026-01-09 08:24:39,Possible account takeover concern
346,U371,2026-03-04 17:21:07,Duplicate suspicious request flagged
347,U342,2026-02-07 12:48:48,Possible account takeover concern
348,U637,2025-11-14 15:28:54,Abnormal account activity detected
349,U650,2026-02-20 16:33:34,Possible account takeover concern
350,U377,2026-03-13 00:31:55,Unrecognized transaction reported
351,U126,2026-01-21 00:30:15,Multiple failed login attempts
352,U606,2026-02-23 08:32:20,Multiple failed login attempts
353,U626,2026-01-28 01:54:49,Abnormal account activity detected
354,U480,2025-12-23 13:09:26,Identity verification mismatch
355,U246,2026-03-08 06:33:23,Reported unauthorized access
356,U189,2026-01-03 08:48:16,Reported unauthorized access
357,U283,2026-02-08 01:42:10,Multiple failed login attempts
358,U567,2026-03-13 16:31:45,Unrecognized transaction reported
359,U373,2025-12-20 22:15:17,Reported unauthorized access
360,U796,2026-04-02 23:03:43,Reported unauthorized access
361,U716,2026-02-15 03:54:22,Duplicate suspicious request flagged
362,U676,2026-02-25 12:57:12,Duplicate suspicious request flagged
363,U750,2026-03-21 14:18:32,Unrecognized transaction reported
364,U247,2026-02-18 15:52:07,Possible account takeover concern
365,U626,2026-03-09 01:39:27,Possible account takeover concern
366,U673,2025-10-29 19:32:14,Possible account takeover concern
367,U472,2025-11-24 19:26:31,Unrecognized transaction reported
368,U026,2026-03-06 13:08:25,Unrecognized transaction reported
369,U675,2025-12-28 20:46:49,Suspicious payment activity detected
370,U229,2025-12-09 02:26:44,Suspicious payment activity detected
371,U556,2026-03-12 23:03:22,Possible account takeover concern
372,U425,2026-04-07 00:27:35,Possible account takeover concern
373,U267,2025-11-22 20:31:43,Possible account takeover concern
374,U213,2026-01-13 12:31:20,Abnormal account activity detected
375,U240,2026-02-19 17:38:36,Abnormal account activity detected
376,U186,2025-11-16 19:47:35,Identity verification mismatch
377,U297,2026-01-21 11:09:30,Unrecognized transaction reported
378,U075,2025-12-27 03:00:49,Multiple failed login attempts
379,U159,2025-12-19 18:03:10,Abnormal account activity detected
380,U241,2026-03-14 00:57:37,Possible account takeover concern
381,U505,2026-03-10 20:21:45,Multiple failed login attempts
382,U394,2025-12-12 19:06:43,Duplicate suspicious request flagged
383,U347,2026-03-29 07:58:06,Identity verification mismatch
384,U221,2026-02-06 19:42:51,Reported unauthorized access
385,U181,2026-02-09 08:24:53,Unrecognized transaction reported
386,U571,2025-12-18 15:27:47,Reported unauthorized access
387,U657,2026-03-02 23:58:29,Possible account takeover concern
388,U784,2026-02-21 23:43:39,Abnormal account activity detected
389,U254,2026-03-06 19:01:39,Unrecognized transaction reported
390,U651,2025-11-13 20:34:41,Abnormal account activity detected
391,U339,2025-12-28 15:31:24,Reported unauthorized access
392,U167,2026-02-18 04:51:30,Identity verification mismatch
393,U236,2026-02-08 17:12:53,Abnormal account activity detected
394,U377,2025-12-22 22:04:26,Duplicate suspicious request flagged
395,U307,2025-12-18 02:07:29,Suspicious payment activity detected
396,U046,2026-04-06 09:40:24,Identity verification mismatch
397,U186,2025-11-03 09:06:35,Identity verification mismatch
398,U064,2026-03-19 22:14:57,Unrecognized transaction reported
399,U158,2026-02-20 06:43:21,Duplicate suspicious request flagged
400,U248,2026-01-08 10:08:51,Possible account takeover concern
401,U511,2026-04-10 05:33:31,Identity verification mismatch
402,U435,2025-11-23 18:44:54,Identity verification mismatch
403,U077,2026-01-11 04:46:51,Reported unauthorized access
404,U386,2026-02-27 13:29:28,Suspicious payment activity detected
405,U687,2026-01-06 21:24:57,Suspicious payment activity detected
406,U356,2026-01-06 16:47:55,Duplicate suspicious request flagged
407,U744,2025-12-12 10:09:33,Possible account takeover concern
408,U594,2026-03-05 04:49:28,Multiple failed login attempts
409,U022,2026-04-01 05:12:41,Duplicate suspicious request flagged
410,U622,2026-04-11 00:56:32,Suspicious payment activity detected
411,U179,2026-03-17 01:52:00,Reported unauthorized access
412,U625,2026-01-04 16:29:31,Abnormal account activity detected
413,U427,2026-02-25 08:52:39,Reported unauthorized access
414,U464,2026-02-14 06:18:08,Possible account takeover concern
415,U466,2025-10-28 01:59:17,Suspicious payment activity detected
416,U436,2025-11-24 13:08:47,Suspicious payment activity detected
417,U168,2026-02-28 23:10:06,Suspicious payment activity detected
418,U733,2026-04-08 16:51:02,Identity verification mismatch
419,U113,2025-12-25 19:15:55,Identity verification mismatch
420,U442,2025-10-29 13:33:14,Unrecognized transaction reported
421,U783,2025-10-29 08:36:13,Multiple failed login attempts
422,U507,2025-11-11 18:25:28,Suspicious payment activity detected
423,U126,2026-01-12 11:11:17,Suspicious payment activity detected
424,U002,2025-12-15 12:14:29,Identity verification mismatch
425,U219,2025-12-29 10:35:46,Unrecognized transaction reported
426,U140,2026-03-04 21:44:30,Reported unauthorized access
427,U340,2025-11-06 06:23:47,Possible account takeover concern
428,U054,2026-03-27 12:24:46,Possible account takeover concern
429,U333,2026-03-07 04:43:08,Possible account takeover concern
430,U460,2025-12-05 17:25:32,Multiple failed login attempts
431,U253,2026-02-09 04:13:49,Duplicate suspicious request flagged
432,U422,2025-12-03 19:02:17,Abnormal account activity detected
433,U411,2026-04-08 00:57:09,Possible account takeover concern
434,U799,2026-03-03 17:09:07,Abnormal account activity detected
435,U449,2026-03-18 11:27:17,Abnormal account activity detected
436,U742,2025-11-05 15:49:48,Abnormal account activity detected
437,U048,2026-02-18 17:27:33,Identity verification mismatch
438,U280,2026-01-20 23:33:51,Multiple failed login attempts
439,U444,2025-11-29 17:57:36,Suspicious payment activity detected
440,U718,2025-11-01 22:13:07,Possible account takeover concern
441,U576,2026-01-08 14:26:43,Reported unauthorized access
442,U767,2025-11-25 02:31:08,Abnormal account activity detected
443,U156,2026-01-19 12:29:57,Identity verification mismatch
444,U067,2026-02-09 08:53:45,Reported unauthorized access
445,U210,2025-12-04 18:14:25,Reported unauthorized access
446,U369,2026-02-15 03:57:58,Abnormal account activity detected
447,U604,2026-02-15 15:55:12,Abnormal account activity detected
448,U625,2026-04-01 05:10:59,Suspicious payment activity detected
449,U792,2025-10-26 00:20:43,Unrecognized transaction reported
450,U233,2026-02-13 00:08:00,Multiple failed login attempts
451,U168,2025-11-16 09:34:44,Abnormal account activity detected
452,U738,2026-03-30 22:53:27,Abnormal account activity detected
453,U373,2025-11-30 00:51:47,Suspicious payment activity detected
454,U584,2025-12-31 12:55:42,Multiple failed login attempts
455,U722,2026-01-28 13:02:19,Duplicate suspicious request flagged
456,U079,2026-04-12 00:32:59,Abnormal account activity detected
457,U125,2026-04-06 15:13:21,Abnormal account activity detected
458,U230,2025-10-26 05:47:03,Identity verification mismatch
459,U256,2026-03-15 18:07:08,Suspicious payment activity detected
460,U166,2026-03-07 21:14:20,Suspicious payment activity detected
461,U698,2026-02-14 15:14:53,Suspicious payment activity detected
462,U377,2026-01-14 18:39:18,Multiple failed login attempts
463,U763,2026-01-23 21:18:53,Duplicate suspicious request flagged
464,U351,2026-03-16 23:56:51,Abnormal account activity detected
465,U591,2025-11-29 21:05:55,Unrecognized transaction reported
466,U497,2026-02-14 11:01:23,Abnormal account activity detected
467,U035,2025-11-22 14:06:50,Possible account takeover concern
468,U712,2025-11-12 03:14:18,Identity verification mismatch
469,U350,2025-11-04 22:17:53,Multiple failed login attempts
470,U306,2026-01-14 15:47:43,Multiple failed login attempts
471,U151,2025-11-15 23:03:02,Reported unauthorized access
472,U171,2026-02-06 01:46:33,Possible account takeover concern
473,U201,2025-11-30 15:02:41,Multiple failed login attempts
474,U551,2026-03-04 12:07:31,Unrecognized transaction reported
475,U622,2026-03-06 20:05:23,Possible account takeover concern
476,U753,2026-03-14 01:17:19,Possible account takeover concern
477,U281,2026-01-31 19:38:54,Suspicious payment activity detected
478,U363,2026-03-20 04:21:25,Multiple failed login attempts
